Source_Titles,records,percent_of_total
SPORTS MEDICINE OPEN,2,0.007
SURGERY,2,0.007
SURGERY TODAY,2,0.007
SUSTAINABILITY,2,0.007
SWISS JOURNAL OF PSYCHOLOGY,2,0.007
THERAPEUTIC ADVANCES IN CHRONIC DISEASE,2,0.007
THERAPEUTIC ADVANCES IN MUSCULOSKELETAL DISEASE,2,0.007
THERAPEUTIC APHERESIS AND DIALYSIS,2,0.007
THERAPEUTISCHE UMSCHAU,2,0.007
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,2,0.007
TOXICOLOGY AND INDUSTRIAL HEALTH,2,0.007
TRANSPLANT INTERNATIONAL,2,0.007
TRANSPORT REVIEWS,2,0.007
TUBERCULOSIS,2,0.007
TUMOR BIOLOGY,2,0.007
TURKISH JOURNAL OF PEDIATRICS,2,0.007
TURKIYE KLINIKLERI TIP BILIMLERI DERGISI,2,0.007
UROLOGIC ONCOLOGY SEMINARS AND ORIGINAL INVESTIGATIONS,2,0.007
VALUE IN HEALTH,2,0.007
VASCULAR HEALTH AND RISK MANAGEMENT,2,0.007
WEIGHT GAIN DURING PREGNANCY REEXAMINING THE GUIDELINES,2,0.007
WILDERNESS ENVIRONMENTAL MEDICINE,2,0.007
WOMEN AND BIRTH,2,0.007
WOMEN THERAPY,2,0.007
WORK A JOURNAL OF PREVENTION ASSESSMENT REHABILITATION,2,0.007
WORK AND STRESS,2,0.007
WORLD JOURNAL OF CLINICAL CASES,2,0.007
WORLD JOURNAL OF HEPATOLOGY,2,0.007
WORLD JOURNAL OF PSYCHIATRY,2,0.007
WORLD PSYCHIATRY,2,0.007
WORLD REVIEW OF NUTRITION AND DIETETICS,2,0.007
XENOBIOTICA,2,0.007
YOGURT IN HEALTH AND DISEASE PREVENTION,2,0.007
ZHURNAL NEVROLOGII I PSIKHIATRII IMENI S S KORSAKOVA,2,0.007
12TH INTERNATIONAL CONFERENCE OF EDUCATION RESEARCH AND INNOVATION ICERI 2019,1,0.003
13TH IMT GT INTERNATIONAL CONFERENCE ON MATHEMATICS STATISTICS AND THEIR APPLICATIONS ICMSA2017,1,0.003
2012 4TH INTERNATIONAL CONFERENCE ON INTELLIGENT AND ADVANCED SYSTEMS ICIAS VOLS 1 2,1,0.003
2012 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY EMBC,1,0.003
2012 IEEE EMBS CONFERENCE ON BIOMEDICAL ENGINEERING AND SCIENCES IECBES,1,0.003
2013 COMPUTING IN CARDIOLOGY CONFERENCE CINC,1,0.003
2013 INTERNATIONAL SYMPOSIUM COMMON DEVELOPMENT OF SPORTS AND MODERN SOCIETY,1,0.003
2015 IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS FUZZ IEEE 2015,1,0.003
2015 IEEE SENSORS APPLICATIONS SYMPOSIUM SAS,1,0.003
2015 INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION ACII,1,0.003
2018 13TH IBERIAN CONFERENCE ON INFORMATION SYSTEMS AND TECHNOLOGIES CISTI,1,0.003
2018 9TH IEEE INTERNATIONAL CONFERENCE ON BIG KNOWLEDGE ICBK,1,0.003
2018 IEEE EMBS CONFERENCE ON BIOMEDICAL ENGINEERING AND SCIENCES IECBES,1,0.003
2018 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING ICASSP,1,0.003
2018 IEEE INTERNATIONAL CONFERENCE ON ENGINEERING TECHNOLOGY AND INNOVATION ICE ITMC,1,0.003
2018 IEEE INTERNATIONAL CONFERENCE ON IMAGING SYSTEMS AND TECHNIQUES IST,1,0.003
2019 30TH IRISH SIGNALS AND SYSTEMS CONFERENCE ISSC,1,0.003
2019 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS MAN AND CYBERNETICS SMC,1,0.003
3RD INTERNATIONAL CONFERENCE ON BIOLOGICAL SCIENCES AND BIOTECHNOLOGY,1,0.003
3RD WORLD CONFERENCE ON PSYCHOLOGY COUNSELING AND GUIDANCE WCPCG 2012,1,0.003
4TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES WCES 2012,1,0.003
5TH WORLD CONFERENCE ON PSYCHOLOGY COUNSELING AND GUIDANCE WCPCG 2014,1,0.003
6TH WORLD CONFERENCE ON PSYCHOLOGY COUNSELING AND GUIDANCE WCPCG 2015,1,0.003
7TH INTERNATIONAL SEMINAR ON NEW PARADIGM AND INNOVATION ON NATURAL SCIENCE AND ITS APPLICATION,1,0.003
9TH WORLD CONGRESS FOR MICROCIRCULATION,1,0.003
AAPS ADVANCES IN THE PHARMACEUTICAL SCIENCES SERIES,1,0.003
AAPS JOURNAL,1,0.003
AAPS PHARMSCITECH,1,0.003
ABDOMINAL IMAGING,1,0.003
ABDOMINAL OBESITY AND THE ENDOCANNABINOID SYSTEM FROM BASIC ASPECTS TO CLINICAL MANAGEMENT OF RELATED CARDIOMETABOLIC RISK,1,0.003
ACADEMIC MEDICINE,1,0.003
ACADEMIC PEDIATRICS,1,0.003
ACADEMY OF MANAGEMENT JOURNAL,1,0.003
ACADEMY OF MANAGEMENT REVIEW,1,0.003
ACTA ALIMENTARIA,1,0.003
ACTA ASTRONAUTICA,1,0.003
ACTA BIOCHIMICA POLONICA,1,0.003
ACTA CIRURGICA BRASILEIRA,1,0.003
ACTA DERMATO VENEREOLOGICA,1,0.003
ACTA DERMATOVENEROLOGICA CROATICA,1,0.003
ACTA HAEMATOLOGICA,1,0.003
ACTA HISTOCHEMICA,1,0.003
ACTA MEDICA PORTUGUESA,1,0.003
ACTA MEDICINAE LEGALIS ET SOCIALIS,1,0.003
ACTA NEUROLOGICA SCANDINAVICA,1,0.003
ACTA NEUROPATHOLOGICA COMMUNICATIONS,1,0.003
ACTA ODONTOLOGICA SCANDINAVICA,1,0.003
ACTA OTO LARYNGOLOGICA,1,0.003
ACTA PAULISTA DE ENFERMAGEM,1,0.003
ACTA REUMATOLOGICA PORTUGUESA,1,0.003
ACTA SCIENTIARUM TECHNOLOGY,1,0.003
ACTA SOCIOLOGICA,1,0.003
ACTA TROPICA,1,0.003
ACUPUNCTURE ELECTRO THERAPEUTICS RESEARCH,1,0.003
ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY,1,0.003
ADDICTA THE TURKISH JOURNAL ON ADDICTIONS,1,0.003
ADDICTION REVIEWS,1,0.003
ADDICTION SCIENCE CLINICAL PRACTICE,1,0.003
ADIPOCYTE,1,0.003
ADOLESCENCE,1,0.003
ADOLESCENT RESEARCH REVIEW,1,0.003
ADOPTION QUARTERLY,1,0.003
ADVANCED SCIENCE,1,0.003
ADVANCEMENTS IN CLINICAL RESEARCH,1,0.003
ADVANCES AND APPLICATIONS IN STATISTICS,1,0.003
ADVANCES IN ANATOMIC PATHOLOGY,1,0.003
ADVANCES IN CHILD DEVELOPMENT AND BEHAVIOR VOL 40,1,0.003
ADVANCES IN CLINICAL CHEMISTRY VOL 32,1,0.003
ADVANCES IN CLINICAL CHEMISTRY VOL 46,1,0.003
ADVANCES IN CLINICAL CHEMISTRY VOL 55,1,0.003
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1,0.003
ADVANCES IN EDUCATIONAL ADMINISTRATION,1,0.003
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY VOL 34,1,0.003
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY VOL 44,1,0.003
ADVANCES IN FOOD AND NUTRITION RESEARCH VOL 59,1,0.003
ADVANCES IN FOOD AND NUTRITION RESEARCH VOL 66,1,0.003
ADVANCES IN FOOD AND NUTRITION RESEARCH VOL 69,1,0.003
ADVANCES IN FOOD AND NUTRITION RESEARCH VOL 70,1,0.003
ADVANCES IN FOOD AND NUTRITION RESEARCH VOL 71,1,0.003
ADVANCES IN GENETICS,1,0.003
ADVANCES IN GENETICS VOL 35,1,0.003
ADVANCES IN GROUP PROCESSES,1,0.003
ADVANCES IN HEALTH ECONOMICS AND HEALTH SERVICES RESEARCH,1,0.003
ADVANCES IN HUMAN BIOLOGY,1,0.003
ADVANCES IN INTEGRATIVE MEDICINE,1,0.003
ADVANCES IN PHARMACOLOGY,1,0.003
ADVANCES IN PROTEIN CHEMISTRY,1,0.003
ADVANCES IN PROTEIN CHEMISTRY VOL 56,1,0.003
ADVANCES IN SKIN WOUND CARE,1,0.003
ADVANCES IN SOCIAL SCIENCE EDUCATION AND HUMANITIES RESEARCH,1,0.003
ADVANCES IN THE ASSESSMENT OF DIETARY INTAKE,1,0.003
ADVANCES IN THE MANAGEMENT OF TESTOSTERONE DEFICIENCY,1,0.003
ADVANCING MEDICINE WITH FOOD AND NUTRIENTS 2ND EDITION,1,0.003
AERA OPEN,1,0.003
AEROBIC EXERCISE AND ATHLETIC PERFORMANCE TYPES DURATION AND HEALTH BENEFITS,1,0.003
AESTHETIC SURGERY JOURNAL,1,0.003
AFRICAN AMERICAN PATIENTS IN PSYCHOTHERAPY UNDERSTANDING THE PSYCHOLOGICAL EFFECTS OF RACISM AND OPPRESSION,1,0.003
AFRICAN AMERICANS AND HIV AIDS UNDERSTANDING AND ADDRESSING THE EPIDEMIC,1,0.003
AFRICAN JOURNAL OF BIOTECHNOLOGY,1,0.003
AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY,1,0.003
AFRICAN JOURNAL OF PRIMARY HEALTH CARE FAMILY MEDICINE,1,0.003
AGRIBUSINESS,1,0.003
AGRICULTURE AND HUMAN VALUES,1,0.003
AICE BS 2011 FAMAGUSTA ASIA PACIFIC INTERNATIONAL CONFERENCE ON ENVIRONMENT BEHAVIOUR STUDIES,1,0.003
AIDS READER,1,0.003
AIDS RESEARCH AND HUMAN RETROVIRUSES,1,0.003
AIMS ENVIRONMENTAL SCIENCE,1,0.003
AIMS MOLECULAR SCIENCE,1,0.003
AIMS NEUROSCIENCE,1,0.003
AIP CONFERENCE PROCEEDINGS,1,0.003
AIR QUALITY ATMOSPHERE AND HEALTH,1,0.003
AJIDD AMERICAN JOURNAL ON INTELLECTUAL AND DEVELOPMENTAL DISABILITIES,1,0.003
AJP REPORTS,1,0.003
ALCOHOL IN HEALTH AND DISEASE,1,0.003
ALCOHOLISM TREATMENT QUARTERLY,1,0.003
ALIGNING PERSPECTIVES ON HEALTH SAFETY AND WELL BEING,1,0.003
ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY,1,0.003
ALLERGY FRONTIERS EPIGENETICS ALLERGENS AND RISK FACTORS VOL 1,1,0.003
ALTERNATIVE MEDICINE REVIEW,1,0.003
AMB EXPRESS,1,0.003
AMBULATORY PEDIATRICS,1,0.003
AMENORRHEA A CASE BASED CLINICAL GUIDE,1,0.003
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,1,0.003
AMERICAN INDIAN WORKFORCE EDUCATION TRENDS AND ISSUES,1,0.003
AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS,1,0.003
AMERICAN JOURNAL OF BIOETHICS,1,0.003
AMERICAN JOURNAL OF CASE REPORTS,1,0.003
AMERICAN JOURNAL OF CLINICAL ONCOLOGY CANCER CLINICAL TRIALS,1,0.003
AMERICAN JOURNAL OF CLINICAL PATHOLOGY,1,0.003
AMERICAN JOURNAL OF CRIMINAL JUSTICE,1,0.003
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,1,0.003
AMERICAN JOURNAL OF HEALTH SYSTEM PHARMACY,1,0.003
AMERICAN JOURNAL OF HOSPICE PALLIATIVE MEDICINE,1,0.003
AMERICAN JOURNAL OF LAW MEDICINE,1,0.003
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,1,0.003
AMERICAN JOURNAL OF OPHTHALMOLOGY,1,0.003
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,1,0.003
AMERICAN JOURNAL OF PHYSICAL MEDICINE REHABILITATION,1,0.003
AMERICAN JOURNAL OF PHYSIOLOGY GASTROINTESTINAL AND LIVER PHYSIOLOGY,1,0.003
AMERICAN JOURNAL OF POLITICAL SCIENCE,1,0.003
AMERICAN JOURNAL OF RHINOLOGY ALLERGY,1,0.003
AMERICAN JOURNAL OF SPEECH LANGUAGE PATHOLOGY,1,0.003
AMERICAN JOURNAL OF SPORTS MEDICINE,1,0.003
AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH,1,0.003
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,1,0.003
AMERICAN JOURNAL OF VETERINARY RESEARCH,1,0.003
AMYOTROPHIC LATERAL SCLEROSIS,1,0.003
ANADOLU PSIKIYATRI DERGISI ANATOLIAN JOURNAL OF PSYCHIATRY,1,0.003
ANAEROBE,1,0.003
ANAESTHESIA,1,0.003
ANAESTHESIA AND INTENSIVE CARE,1,0.003
ANAESTHESIOLOGY INTENSIVE THERAPY,1,0.003
ANAESTHESIST,1,0.003
ANAIS BRASILEIROS DE DERMATOLOGIA,1,0.003
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1,0.003
ANALES DE LA FACULTAD DE MEDICINA UNIVERSIDAD DE LA REPUBLICA URUGUAY,1,0.003
ANALES DE PSICOLOGIA,1,0.003
ANALYSES OF SOCIAL ISSUES AND PUBLIC POLICY,1,0.003
ANALYTICA CHIMICA ACTA,1,0.003
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,1,0.003
ANALYTICAL AND QUANTITATIVE CYTOPATHOLOGY AND HISTOPATHOLOGY,1,0.003
ANALYTICAL CHEMISTRY,1,0.003
ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,1,0.003
ANESTHESIA CONSIDERATIONS FOR THE ORAL AND MAXILLOFACIAL SURGEON,1,0.003
ANESTHESIA FOR CONGENITAL HEART DISEASE,1,0.003
ANESTHESIOLOGY,1,0.003
ANGER TREATMENT FOR PEOPLE WITH DEVELOPMENTAL DISABILITIES A THEORY EVIDENCE AND MANUAL BASED APPROACH,1,0.003
ANGEWANDTE CHEMIE INTERNATIONAL EDITION,1,0.003
ANIMAL,1,0.003
ANIMAL SCIENCE JOURNAL,1,0.003
ANNALES DE CARDIOLOGIE ET D ANGEIOLOGIE,1,0.003
ANNALI DELL ISTITUTO SUPERIORE DI SANITA,1,0.003
ANNALI DI IGIENE MEDICINA PREVENTIVA E DI COMUNITA,1,0.003
ANNALI ITALIANI DI CHIRURGIA,1,0.003
ANNALS OF CARDIAC ANAESTHESIA,1,0.003
ANNALS OF CARDIOTHORACIC SURGERY,1,0.003
ANNALS OF HEPATOLOGY,1,0.003
ANNALS OF LABORATORY MEDICINE,1,0.003
ANNALS OF OCCUPATIONAL HYGIENE,1,0.003
ANNALS OF ONCOLOGY,1,0.003
ANNALS OF OPERATIONS RESEARCH,1,0.003
ANNALS OF PALLIATIVE MEDICINE,1,0.003
ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,1,0.003
ANNALS OF THORACIC AND CARDIOVASCULAR SURGERY,1,0.003
ANNALS OF TROPICAL MEDICINE AND PUBLIC HEALTH,1,0.003
ANNUAL REVIEW OF ANTHROPOLOGY,1,0.003
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY VOL 11,1,0.003
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY VOL 13,1,0.003
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY VOL 9,1,0.003
ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY,1,0.003
ANNUAL REVIEW OF FOOD SCIENCE AND TECHNOLOGY VOL 2,1,0.003
ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS VOL 13,1,0.003
ANNUAL REVIEW OF GERONTOLOGY AND GERIATRICS VOL 32 EMERGING PERSPECTIVES ON RESILIENCE IN ADULTHOOD AND LATER LIFE,1,0.003
ANNUAL REVIEW OF GERONTOLOGY AND GERIATRICS VOL 36 OPTIMIZING PHYSICAL ACTIVITY AND FUNCTION ACROSS SETTINGS,1,0.003
ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE,1,0.003
ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE VOL 8,1,0.003
ANNUAL REVIEW OF MEDICINE VOL 63,1,0.003
ANNUAL REVIEW OF MEDICINE VOL 67,1,0.003
ANNUAL REVIEW OF NUTRITION VOL 32,1,0.003
ANNUAL REVIEW OF NUTRITION VOL 36,1,0.003
ANNUAL REVIEW OF NUTRITION VOL 37,1,0.003
ANNUAL REVIEW OF PSYCHOLOGY VOL 62,1,0.003
ANNUAL REVIEW OF PSYCHOLOGY VOL 63,1,0.003
ANNUAL REVIEW OF PSYCHOLOGY VOL 69,1,0.003
ANNUAL REVIEW OF PSYCHOLOGY VOL 70,1,0.003
ANNUAL REVIEW OF PUBLIC HEALTH VOL 31,1,0.003
ANNUAL REVIEW OF PUBLIC HEALTH VOL 32,1,0.003
ANNUAL REVIEW OF PUBLIC HEALTH VOL 37,1,0.003
ANNUAL REVIEW OF PUBLIC HEALTH VOL 38,1,0.003
ANNUAL REVIEW OF PUBLIC HEALTH VOL 39,1,0.003
ANNUAL REVIEW OF PUBLIC HEALTH VOL 40,1,0.003
ANNUAL REVIEW OF RESOURCE ECONOMICS,1,0.003
ANNUAL REVIEW OF RESOURCE ECONOMICS VOL 11,1,0.003
ANNUAL REVIEW OF SOCIOLOGY VOL 43,1,0.003
ANTIOXIDANTS IN FOOD VITAMINS AND SUPPLEMENTS PREVENTION AND TREATMENT OF DISEASE,1,0.003
ANTIPODE,1,0.003
ANTIVIRAL RESEARCH,1,0.003
ANUARIO DE PSICOLOGIA,1,0.003
APMIS,1,0.003
APOPROTEIN RESEARCH,1,0.003
APPLICATION OF CLINICAL GENETICS,1,0.003
APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,1,0.003
APPLIED DEVELOPMENTAL SCIENCE,1,0.003
APPLIED ECONOMIC PERSPECTIVES AND POLICY,1,0.003
APPLIED ECONOMICS,1,0.003
APPLIED IMMUNOHISTOCHEMISTRY MOLECULAR MORPHOLOGY,1,0.003
APPLIED PSYCHOLOGY HEALTH AND WELL BEING,1,0.003
APPLIED RESEARCH IN QUALITY OF LIFE,1,0.003
APPLIED SOFT COMPUTING,1,0.003
APPLIED SPATIAL ANALYSIS AND POLICY,1,0.003
APPLYING QUALITY OF LIFE RESEARCH BEST PRACTICES,1,0.003
APPROACHES TO AGING CONTROL,1,0.003
APUNTS MEDICINA DE L ESPORT,1,0.003
AQUACULTURE INTERNATIONAL,1,0.003
AQUACULTURE NUTRITION,1,0.003
AQUICHAN,1,0.003
ARCHIVES DES MALADIES PROFESSIONNELLES ET DE L ENVIRONNEMENT,1,0.003
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,1,0.003
ARCHIVES OF HELLENIC MEDICINE,1,0.003
ARCHIVES OF NEUROLOGY,1,0.003
ARCHIVES OF OPHTHALMOLOGY,1,0.003
ARCHIVES OF PATHOLOGY LABORATORY MEDICINE,1,0.003
ARCHIVES OF PHARMACAL RESEARCH,1,0.003
ARCHIVES OF PSYCHIATRIC NURSING,1,0.003
ARCHIVES OF SUICIDE RESEARCH,1,0.003
ARCHIVOS DE MEDICINA,1,0.003
ARCHIVOS ESPANOLES DE UROLOGIA,1,0.003
ARCTIC ANTARCTIC AND ALPINE RESEARCH,1,0.003
ARTHRITIS RHEUMATOLOGY,1,0.003
ARTIFICIAL INTELLIGENCE IN MEDICINE,1,0.003
ARTIFICIAL ORGANS,1,0.003
ASAIO JOURNAL,1,0.003
ASC DIVISION ON CORRECTIONS SENTENCING HANDBOOK SERIES,1,0.003
ASEAN JOURNAL OF PSYCHIATRY,1,0.003
ASIA PACIFIC ALLERGY,1,0.003
ASIAN JOURNAL OF COMMUNICATION,1,0.003
ASIAN JOURNAL OF UROLOGY,1,0.003
ASIAN NURSING RESEARCH,1,0.003
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,1,0.003
ASIAN PERSPECTIVES AND EVIDENCE ON HEALTH PROMOTION AND EDUCATION,1,0.003
ASIAN POPULATION STUDIES,1,0.003
ASPC MANUAL OF PREVENTIVE CARDIOLOGY,1,0.003
ASTHMA HEALTH AND SOCIETY A PUBLIC HEALTH PERSPECTIVE,1,0.003
ATHEROSCLEROSIS SUPPLEMENTS,1,0.003
ATMOSPHERE,1,0.003
ATMOSPHERIC ENVIRONMENT,1,0.003
AUSTRALASIAN PHYSICAL ENGINEERING SCIENCES IN MEDICINE,1,0.003
AUSTRALASIAN PSYCHIATRY,1,0.003
AUSTRALIAN AND NEW ZEALAND JOURNAL OF MEDICINE,1,0.003
AUSTRALIAN FAMILY PHYSICIAN,1,0.003
AUSTRALIAN HEALTH REVIEW,1,0.003
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,1,0.003
AUSTRALIAN JOURNAL OF RURAL HEALTH,1,0.003
AUSTRALIAN PSYCHOLOGIST,1,0.003
AUSTRIAN JOURNAL OF CLINICAL ENDOCRINOLOGY AND METABOLISM,1,0.003
AUTOIMMUNITY,1,0.003
AUTOPHAGY AND CARDIOMETABOLIC DISEASES FROM MOLECULAR MECHANISMS TO TRANSLATIONAL MEDICINE,1,0.003
BALNEO RESEARCH JOURNAL,1,0.003
BARIATRIC NURSING AND SURGICAL PATIENT CARE,1,0.003
BASIC CLINICAL PHARMACOLOGY TOXICOLOGY,1,0.003
BBA CLINICAL,1,0.003
BEER IN HEALTH AND DISEASE PREVENTION,1,0.003
BEHAVIOR ANALYST,1,0.003
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,1,0.003
BEHAVIOUR INFORMATION TECHNOLOGY,1,0.003
BEST PRACTICE RESEARCH IN CLINICAL RHEUMATOLOGY,1,0.003
BIO MEDICAL MATERIALS AND ENGINEERING,1,0.003
BIOACTIVE COMPONENTS OF MILK,1,0.003
BIOACTIVE FOOD AS DIETARY INTERVENTIONS FOR LIVER AND GASTROINTESTINAL DISEASE,1,0.003
BIOCHEMICAL GENETICS,1,0.003
BIOCHEMISTRY MOSCOW,1,0.003
BIOCHEMISTRY RESEARCH TRENDS,1,0.003
BIOCHIMICA CLINICA,1,0.003
BIODATA MINING,1,0.003
BIOINFORMATICS,1,0.003
BIOINFORMATION,1,0.003
BIOLOGICAL PSYCHIATRY COGNITIVE NEUROSCIENCE AND NEUROIMAGING,1,0.003
BIOLOGY BASEL,1,0.003
BIOLOGY OF EARLY LIFE STRESS UNDERSTANDING CHILD MALTREATMENT AND TRAUMA,1,0.003
BIOLOGY PHILOSOPHY,1,0.003
BIOMEDICAL ENGINEERING APPLICATIONS BASIS COMMUNICATIONS,1,0.003
BIOMEDICAL ENGINEERING ONLINE,1,0.003
BIOMEDICAL HUMAN KINETICS,1,0.003
BIOMEDICAL JOURNAL,1,0.003
BIOMEDICINES,1,0.003
BIOMETALS,1,0.003
BIOMETRICS,1,0.003
BIOMIMETICS,1,0.003
BIOMOLECULES THERAPEUTICS,1,0.003
BIORESEARCH OPEN ACCESS,1,0.003
BIORESORBABLE SCAFFOLDS FROM BASIC CONCEPT TO CLINICAL APPLICATIONS,1,0.003
BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,1,0.003
BIOSCIENCE ETHICS,1,0.003
BIOSCIENCE RESEARCH,1,0.003
BIOSENSORS BIOELECTRONICS,1,0.003
BIOSOCIETIES,1,0.003
BIOTECHNOLOGY BIOTECHNOLOGICAL EQUIPMENT,1,0.003
BIOTECNIA,1,0.003
BJPSYCH OPEN,1,0.003
BLOOD CELLS MOLECULES AND DISEASES,1,0.003
BMC BIOLOGY,1,0.003
BMC CELL BIOLOGY,1,0.003
BMC MEDICAL INFORMATICS AND DECISION MAKING,1,0.003
BMC NEUROSCIENCE,1,0.003
BMC PHARMACOLOGY TOXICOLOGY,1,0.003
BMC VETERINARY RESEARCH,1,0.003
BMJ GLOBAL HEALTH,1,0.003
BODY METABOLISM AND EXERCISE,1,0.003
BONE MARROW TRANSPLANTATION,1,0.003
BONEKEY REPORTS,1,0.003
BRAIN,1,0.003
BRAIN AND COGNITION,1,0.003
BRAIN AND OBESITY,1,0.003
BRAIN IMAGING,1,0.003
BRAIN IMAGING AND BEHAVIOR,1,0.003
BRAIN INJURY,1,0.003
BRAIN PATHOLOGY,1,0.003
BRAIN RESEARCH REVIEWS,1,0.003
BRANCHED CHAIN AMINO ACIDS IN CLINICAL NUTRITION VOL 2,1,0.003
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1,0.003
BRAZILIAN JOURNAL OF HYGIENE AND ANIMAL SANITY,1,0.003
BRAZILIAN JOURNAL OF INFECTIOUS DISEASES,1,0.003
BRAZILIAN ORAL RESEARCH,1,0.003
BREAST CANCER RESEARCH,1,0.003
BREAST JOURNAL,1,0.003
BREATHE,1,0.003
BRITISH COLUMBIA MEDICAL JOURNAL,1,0.003
BRITISH JOURNAL OF ADDICTION,1,0.003
BRITISH JOURNAL OF ANAESTHESIA,1,0.003
BRITISH JOURNAL OF CLINICAL PRACTICE,1,0.003
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,1,0.003
BRITISH JOURNAL OF NEUROSURGERY,1,0.003
BRITISH JOURNAL OF PSYCHOLOGY,1,0.003
BUDDHIST CHRISTIAN STUDIES,1,0.003
BUILDING AND ENVIRONMENT,1,0.003
BULETIN PENELITIAN KESEHATAN,1,0.003
BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE,1,0.003
BURNS,1,0.003
BYULLETEN SIBIRSKOY MEDITSINY,1,0.003
CAHIERS DE NUTRITION ET DE DIETETIQUE,1,0.003
CALIFORNIA LAW REVIEW,1,0.003
CAMBRIDGE HANDBOOK OF PERSONALITY PSYCHOLOGY,1,0.003
CAMBRIDGE HANDBOOK OF THE PSYCHOLOGY OF PREJUDICE,1,0.003
CAMBRIDGE HANDBOOK OF VIOLENT BEHAVIOR AND AGGRESSION,1,0.003
CAMBRIDGE HANDBOOKS IN PSYCHOLOGY,1,0.003
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,1,0.003
CANADIAN FAMILY PHYSICIAN,1,0.003
CANADIAN JOURNAL OF ANAESTHESIA JOURNAL CANADIEN D ANESTHESIE,1,0.003
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,1,0.003
CANADIAN JOURNAL OF ECONOMICS REVUE CANADIENNE D ECONOMIQUE,1,0.003
CANADIAN JOURNAL OF INFECTIOUS DISEASES MEDICAL MICROBIOLOGY,1,0.003
CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,1,0.003
CANADIAN JOURNAL OF OCCUPATIONAL THERAPY REVUE CANADIENNE D ERGOTHERAPIE,1,0.003
CANADIAN RESPIRATORY JOURNAL,1,0.003
CANCER AND AGING FROM BENCH TO CLINICS,1,0.003
CANCER BIOMARKERS,1,0.003
CANCER LETTERS,1,0.003
CANCER MEDICINE,1,0.003
CANCER SCIENCE,1,0.003
CARBOHYDRATE POLYMERS,1,0.003
CARDIAC AND VASCULAR BIOLOGY,1,0.003
CARDIAC ENGINEERING FROM GENES AND CELLS TO STRUCTURE AND FUNCTION,1,0.003
CARDIAC REHABILITATION,1,0.003
CARDIO ONCOLOGY PRINCIPLES PREVENTION AND MANAGEMENT,1,0.003
CARDIOGENETICS,1,0.003
CARDIOLOGY AND THERAPY,1,0.003
CARDIOSKELETAL MYOPATHIES IN CHILDREN AND YOUNG ADULTS,1,0.003
