Organizations_Enhanced,records,percent_of_total
ASSOC BLACK CARDIOLOGISTS,1,0.003
ASSOC DERMATOL PREVENT,1,0.003
ASSOC DUTCH BURN CENTRES,1,0.003
ASSOC DUTCH BURN CTR,1,0.003
ASSOC ESTUDO DIABET MELLITUS APOIO DIABET ALGAR,1,0.003
ASSOC FLEURBAIX LAVENTIE VILLE SANTE,1,0.003
ASSOC MATERNAL CHILD HLTH PROGRAMS,1,0.003
ASSOC PSYCHOL SCI,1,0.003
ASSOC RIC CARDIOL,1,0.003
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,1,0.003
ASST FATEBENEFRATELLI SACCO,1,0.003
ASST NIGUARDA CA GRANDA,1,0.003
ASTRAZENECA R D GOTHENBURG,1,0.003
ASTRID LINDGREN CHILDRENS HOSP,1,0.003
ASTURIAS HLTH HLTH CARE COUNCIL,1,0.003
ASWAN UNIVERSITY,1,0.003
ATAHUALPA PROJECT,1,0.003
ATEM PHYSIOTHERAPIE SOLLN,1,0.003
ATEM REHA GMBH,1,0.003
ATGC DIAGNOST PRIVATE LTD,1,0.003
ATHENEUM PARTNERS,1,0.003
ATHENS ASSOC ALZHEIMERS DIS RELATED DISORDERS,1,0.003
ATHENS EUROCLIN,1,0.003
ATHENS KAT HOSP,1,0.003
ATHEROPOINT,1,0.003
ATHEROPOINTTM,1,0.003
ATHEROTECH,1,0.003
ATHEROTECH DIAGNOST LAB,1,0.003
ATHINOULA A MARTINOS CTR BIOMED IMAGING,1,0.003
ATIH,1,0.003
ATLANTA JOB CORPS CTR,1,0.003
ATLANTA VAMC EPIDEMIOL GENET SECT,1,0.003
ATLANTA VAMC MHSL,1,0.003
ATLANTA VASC RES FDN,1,0.003
ATLANTA VET AFFAIRS HLTH CARE SYST,1,0.003
ATLANTA VET AFFAIRS MED CTR 112,1,0.003
ATLANTIA VET HOSP,1,0.003
ATLANTIC HEALTH SYSTEM,1,0.003
ATMIN RADIOL HLTH PROMOT CTR,1,0.003
ATRIUM MED CTR,1,0.003
ATRIUM MEDICAL CENTER,1,0.003
ATTAR NEYSHABOURI,1,0.003
ATTENT LEARNING DISABIL CTR,1,0.003
AUBURN HOSP,1,0.003
AUBURN UNIV AUBURN,1,0.003
AUCKLAND DISTRICT HEALTH BOARD,1,0.003
AUCKLAND REG PUBL HLTH SERV,1,0.003
AUGSBURG UNIVERSITY,1,0.003
AUGUSTA KRANKEN ANSTALT BOCHUM,1,0.003
AUGUSTA PREVENT CARDIOL INC,1,0.003
AULTMAN HOSP,1,0.003
AUNT MARTHA YOUTH SERV CTR INC,1,0.003
AURORA HEALTHCARE,1,0.003
AURORA ST LUKES MED CTR,1,0.003
AURORAS ST LUKES MED CTR,1,0.003
AUSL MODENA,1,0.003
AUSTIN HLTH CHILD ADOLESCENT MENTAL HLTH SERV,1,0.003
AUSTRAL UNIV HOSP,1,0.003
AUSTRAL UNIVERSITY,1,0.003
AUSTRALIAN ALZHEIMERS RES FDN,1,0.003
AUSTRALIAN COLL OPTOMETRY,1,0.003
AUSTRALIAN DIABET COUNCIL,1,0.003
AUSTRALIAN DRUG FDN,1,0.003
AUSTRALIAN HLTH AGEING ORG,1,0.003
AUSTRALIAN INST HLTH WELF,1,0.003
AUSTRALIAN NUCLEAR SCIENCE TECHNOLOGY ORGANISATION,1,0.003
AUSTRALIAN PREVENT PARTNERSHIP CTR,1,0.003
AUSTRALICUT NATL UNIV,1,0.003
AUSTRIAN ACADEMY OF SCIENCES,1,0.003
AUSTRIAN DIALYSIS TRANSPLANT REGISTRY,1,0.003
AUSTRIAN INSTITUTE OF TECHNOLOGY AIT,1,0.003
AUTI UNIEK,1,0.003
AVALON UNIV,1,0.003
AVERA MCKENNAN UNIV HOSP,1,0.003
AVICENNA HOSPITAL,1,0.003
AVIIR INC,1,0.003
AVIVA MED CTR,1,0.003
AVON PRODUCTS,1,0.003
AWAJI HOKUDAN PUBL CLIN,1,0.003
AYABE CITY HOSP,1,0.003
AYDIN STATE HOSPITAL,1,0.003
AYUB MED COLL ABBOTTABAD,1,0.003
AYUB TEACHING HOSP ABBOTTABAD,1,0.003
AZAD ARDABIL UNIV MED SCI,1,0.003
AZAD JAMMU KASHMIR MED COLL,1,0.003
AZAD UNIV,1,0.003
AZBIL CORP,1,0.003
AZIENDA OSPED BIANCHI MELACRINO MORELLI REGGIO CA,1,0.003
AZIENDA OSPED MONALDI NAPOLI,1,0.003
AZIENDA OSPED UNIV,1,0.003
AZIENDA OSPEDALIERA DI PERUGIA,1,0.003
AZIENDA OSPEDALIERO UNIVERSITARIA SAN LUIGI GONZAGA,1,0.003
AZIENDA SANIT LOCALE NAPOLI 1,1,0.003
AZIENDA SANIT PROV,1,0.003
AZIENDA SANIT PROV CATANIA,1,0.003
AZIENDA SANIT UNICA REG MARCHE MARCHE,1,0.003
AZIENDA SOCIOSANIT 4 MEDIO FRIULI,1,0.003
AZIENDA UNITA SANIT LOCALE MODENA,1,0.003
AZIENDA UNIV OSPED POLICLIN VITTORIO EMANUALE,1,0.003
AZIENDA USL DI IMOLA,1,0.003
AZIENDA USL TOSCANA SUD EST,1,0.003
B C CENTRE FOR EXCELLENCE IN HIV AIDS,1,0.003
B D BEHAV HLTH CTR,1,0.003
B P KOIRALA INSTITUTE OF HEALTH SCIENCES,1,0.003
BABES UNIV MED PHARMACIE,1,0.003
BACH MAI UNIV HOSP,1,0.003
BADEN WURTTEMBERG STATE HLTH OFF,1,0.003
BAERUM HOSP,1,0.003
BAHAMIAN MINIST HLTH,1,0.003
BAHCECI HEALTH GROUP,1,0.003
BAHCESEHIR UNIVERSITY,1,0.003
BAHIA STATE CTR DIABET ENDOCRINOL,1,0.003
BAHIANA SCH MED PUBL HLTH BAHIANA,1,0.003
BAHINAN HOSP,1,0.003
BAHRIA UNIV MED,1,0.003
BAHRIA UNIV MED DENT COLL,1,0.003
BAIRRO UNIV,1,0.003
BAKER HEART DIABET RES INST,1,0.003
BAKER IDI HEART DIABET INST VICTORIA,1,0.003
BALDWIN CONSULTING LLC,1,0.003
BALDWIN WALLACE UNIVERSITY,1,0.003
BALIKESIR ATATURK STATE HOSPITAL,1,0.003
BALIKESIR UNIVERSITY,1,0.003
BALLARAT HLTH SERV,1,0.003
BALTIMORE HEALTHY START,1,0.003
BALTIMORE VET AFFAIRS HLTH,1,0.003
BALTIMORE VET AFFAIRS HLTH CARE SYST,1,0.003
BALURGHAT COLL,1,0.003
BAM UNIV MED SCI,1,0.003
BANBUNTANE HOTOKUKAI HOSP,1,0.003
BANGABANDHU SHEIKH MUJIBUR RAHMAN SCI TECHNOL U,1,0.003
BANGALORE INST DENT SCI,1,0.003
BANGKOK METROPOLITAN ADM MED COLL,1,0.003
BANGLADESH NATL HERBARIUM,1,0.003
BANK ITALY,1,0.003
BANKURA SAMMILANI MED COLL,1,0.003
BAOAN HOSP CHRON DIS PREVENT TREATMENT,1,0.003
BAOJI MATERNAL CHILD HLTH HOSP,1,0.003
BAOTOU EIGHTH HOSP,1,0.003
BAOTOU MEDICAL COLLEGE,1,0.003
BAPTIST CARDIAC VASC INST,1,0.003
BAPTIST HLTH SYST S FLORIDA,1,0.003
BARAGWANATH HOSP,1,0.003
BARBARA DAVIS CTR CHILDHOOD DIABET,1,0.003
BARBARA DAVIS CTR DIABET,1,0.003
BARBERRY NATL CTR MENTAL HLTH,1,0.003
BARCELONA OFFICIAL COLL PHARMACISTS,1,0.003
BARD COLL,1,0.003
BARHII,1,0.003
BARIATR CTR ROCKIES,1,0.003
BARIJ MED PLANTS RES CTR,1,0.003
BARKER BICOASTAL HLTH CONSULTANTS INC,1,0.003
BARMER GEK,1,0.003
BARNABAS HLTH HEART CTR,1,0.003
BARNES HOSP,1,0.003
BARNET ENFIELD HARINGEY MENTAL HLTH TRUST,1,0.003
BARNSTABLE BROWN DIABET OBES CTR,1,0.003
BARRETT HODGSON UNIV,1,0.003
BARSHOP INST LONGEV AGING STUDIES,1,0.003
BARWON HLTH,1,0.003
BASEPAWS INC,1,0.003
BASHKIR REPUBLICAN CLIN HOSP WAR VET,1,0.003
BASHKIR STATE MEDICAL UNIVERSITY,1,0.003
BASHKIR STATE PEDAGOGICAL UNIVERSITY,1,0.003
BASHKIR STATE UNIVERSITY,1,0.003
BASIC HLTH ZONES POZOBLANCO HINOJOSA DEL DUQUE,1,0.003
BASQUE CENTRE FOR CLIMATE CHANGE BC3,1,0.003
BASQUE FOUNDATION FOR SCIENCE,1,0.003
BASQUE HLTH SERV,1,0.003
BASRAH COLL MED,1,0.003
BASSETT HEALTHCARE NETWORK,1,0.003
BASSETT RESARCH INST,1,0.003
BASSINI HOSP MILAN,1,0.003
BASTYR UNIV CALIF,1,0.003
BATES COLL,1,0.003
BATHURST STEELES HLTH CTR,1,0.003
BATTELLE CTR ANALYT PUBL HLTH,1,0.003
BATTELLE CTR PUBL HLTH RES EVALUAT,1,0.003
BATTELLE HLTH ANALYT,1,0.003
BATTELLE TOXICOL,1,0.003
BATTERJEE MED COLL,1,0.003
BATTLE CREEK VA MED CTR,1,0.003
BAVARIAN STATE MINIST NUTR AGR FORESTRY,1,0.003
BAVARIAN STATE RES CTR AGR,1,0.003
BAXTER INTERNATIONAL INC,1,0.003
BAY CITY CAPITAL,1,0.003
BAY PINES VA HLTH CARE SYST,1,0.003
BAY PINES VET AFFAIRS MED CTR,1,0.003
BAYLOR HEART CLIN,1,0.003
BAYLOR HEART VASC HOSP,1,0.003
BAYLOR PSYCHOL NEUROSCI DEPT,1,0.003
BAYLOR SCOTT WHITE HLTH WELLNESS CTR,1,0.003
BAYVIEW HUNTERS POINT FDN,1,0.003
BBSRC ROSLIN INSTITUTE,1,0.003
BCCDC,1,0.003
BEAM DIAGNOST CTR,1,0.003
BEAM LLC,1,0.003
BEATRICE RES CTR,1,0.003
BEATTY LIVER OBES RES CTR,1,0.003
BEAULIEU SAUCIER UNIV MONTREAL,1,0.003
BEAUMONT HOSP,1,0.003
BEDFORD VAMC,1,0.003
BEDFORD VET AFFAIRS HOSP,1,0.003
BEHAV DIAGNOST,1,0.003
BEHAV MED UNIT,1,0.003
BEHAV SCI ASSOCIATES,1,0.003
BEIHANG UNIVERSITY,1,0.003
BEIJING CHAOYANG DIST CTR DIS PREVENT,1,0.003
BEIJING CHAOYANG DIST MATERNAL CHILD HLTH CARE,1,0.003
BEIJING CTR DIS CONTROL PREVENT,1,0.003
BEIJING EYE INST,1,0.003
BEIJING FENGTAI HOSP,1,0.003
BEIJING FENGTAI HOSP OBSTET GYNECOL,1,0.003
BEIJING FIRST HOSP INTEGRATED CHINESE WESTERN M,1,0.003
BEIJING HAIDIAN MATERNAL CHILD HLTH HOSP,1,0.003
BEIJING INST BIOTECHNOL,1,0.003
BEIJING INSTITUTE OF GENOMICS CAS,1,0.003
BEIJING INSTITUTE OF TECHNOLOGY,1,0.003
BEIJING KEY LAB DIABET RES CARE,1,0.003
BEIJING KEY LAB GERIATR COGNIT DISORDERS,1,0.003
BEIJING KEY LAB HYPERTENS,1,0.003
BEIJING KEY LAB HYPERTENS RES,1,0.003
BEIJING KEY LAB REPROD ENDOCRINOL ASSISTED REPR,1,0.003
BEIJING KEY LAB SEPARAT ANAL BIOMED PHARMACEU,1,0.003
BEIJING LAB CARDIOVASC PRECIS MED PXM2017 014226,1,0.003
BEIJING LONGFU HOSP,1,0.003
BEIJING MIL COMMAND GEN HOSP,1,0.003
BEIJING MUNICIPAL KEY LAB TRANSLAT MED CEREBROVAS,1,0.003
BEIJING NEUROSURGICAL INSTITUTE,1,0.003
BEIJING NORMAL UNIVERSITY HONG KONG BAPTIST UNIVERSITY UNITED INTERNATIONAL COLLEGE,1,0.003
BEIJING PHYS EXAMINAT CTR,1,0.003
BEIJING RECDATA TECHNOL CO LTD,1,0.003
BEIJING RES CTR PREVENT MED,1,0.003
BEIJING SHIJINGSHAN BADACHU OUT PATIENT DEPT TRAD,1,0.003
BEIJING SHIJINGSHAN HOSP,1,0.003
BEIJING UNIVERSITY OF TECHNOLOGY,1,0.003
BEIJING XIAOTANGSHAN HOSP,1,0.003
BEIJING ZHANLANLU HOSP,1,0.003
BEIRUT MEDICAL CENTER,1,0.003
BELGIAN HLTH CARE KNOWLEDGE CTR,1,0.003
BELGIAN NUCLEAR RESEARCH CENTRE SCK CEN,1,0.003
BELL INST HLTH NUTR,1,0.003
BELLEVUE RES FDN,1,0.003
BELLEVUE SCH DIST,1,0.003
BELMONT CLIN,1,0.003
BELMONT COURT DIALYSIS WARMINSTER HOSP,1,0.003
BENEDICTUS KRANKENHAUS TUTZING,1,0.003
BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,1,0.003
BENEO GRP,1,0.003
BENIN REPUBL NATL PROGRAM NON COMMUNICABLE DIS,1,0.003
BENTLEY UNIV,1,0.003
BERGEN CTY DEPT HLTH,1,0.003
BERGMAN CLIN,1,0.003
BERKSHIRE MED CTR,1,0.003
BERMAN CTR CLIN RES,1,0.003
BERRY BIO FOOD RES INST,1,0.003
BERUFSVERBAND KINDER JUGENDARZTE,1,0.003
BETHLEHEM GESUNDHEITSZENTRUM STOLBERG GGMBH,1,0.003
BETHUNE COOKMAN UNIV,1,0.003
BETTER BEGINNINGS BETTER FUTURES,1,0.003
BETTER HLTH PARTNERSHIP,1,0.003
BETTER WAY HLTH CONSULTING,1,0.003
BETTY GUY BEATTY CTR INTEGRATED RES,1,0.003
BG MED,1,0.003
BG TRAUMA CTR LUDWIGSHAFEN,1,0.003
BHABHA ATOMIC RESEARCH CENTER BARC,1,0.003
BHARATHIDASAN UNIVERSITY,1,0.003
BHARTI HOSP,1,0.003
BHCAIH,1,0.003
BHU HARI HAR,1,0.003
BHU KOT HAQ NAWAZ,1,0.003
BI NORWEGIAN BUSINESS SCHOOL,1,0.003
BIBLIOTHECA ALEXANDRINA YACOUB MOL GENET LAB,1,0.003
BIENESTAR HUMAN SERV INC,1,0.003
BIG HLTH LTD,1,0.003
BIGA STATE HOSPITAL,1,0.003
BIKO ASSOCIATES,1,0.003
BIKUR CHOLIM HOSP,1,0.003
BILECIK STATE HOSPITAL,1,0.003
BINZHOU PEOPLES HOSP,1,0.003
BIOANALYT LABS MEDISUPPORT,1,0.003
BIOANALYT MED LAB,1,0.003
BIOASSAY GMBH,1,0.003
BIOCHIM LAB,1,0.003
BIOCHRON LLC,1,0.003
BIOCOMPETENCE CTR HEALTHY DAIRY PROD,1,0.003
BIODETECT SYST BV,1,0.003
BIODIVERS RES INST,1,0.003
BIOENGN RADIOL MED,1,0.003
BIOFORTIS CLIN RES,1,0.003
BIOINVENT INT AB,1,0.003
BIOISI,1,0.003
BIOL THERAPY INST,1,0.003
BIOMARKER SCI CO LTD,1,0.003
BIOMED COMP RES INST,1,0.003
BIOMED INST IBIOMED,1,0.003
BIOMED RES CTR DIABET ASSOCIATED METAB DISORDER,1,0.003
BIOMED RES CTR NETWORK EPIDEMIOL PUBL HLTH CIBE,1,0.003
BIOMED RES INST MURCIA,1,0.003
BIOMED RES INST MURCIA IMIB,1,0.003
BIOMED RES INST ST PAU IIB ST PAU,1,0.003
BIOMED RES NETWORKING CTR FRAILTY HLTH AGING,1,0.003
BIOMELAB LTDA,1,0.003
BIONOV SARL,1,0.003
BIOPOLIS SL ARCHER DANIELS MIDLAND,1,0.003
BIOQUANTET,1,0.003
BIOREALM LLC,1,0.003
BIOS BIOTECH MULTIDIAGNOST HLTH CTR,1,0.003
BIOSETPOINT INST,1,0.003
BIOSFER TESLAB,1,0.003
BIOSTAT INC,1,0.003
BIOSTATISTICS INC,1,0.003
BIOTECHNOL CTR NKOLBISSON,1,0.003
BIOTERRA UNIV,1,0.003
BIOTRONIK AG,1,0.003
BIOZOOM GMBH,1,0.003
BIRLA INSTITUTE OF TECHNOLOGY SCIENCE PILANI BITS PILANI,1,0.003
BIRMINGHAM VA MED CTR,1,0.003
BIRMINGHAM VET ADM,1,0.003
BIRMINGHAM VET ADM MED CTR,1,0.003
BIRMINGHAM VET MED CTR,1,0.003
BIRMINGHAM WOMANS CHILDRENS NHS FDN TRUST,1,0.003
BIRMINHAM COMMUNITY HLTH FDN TRUST,1,0.003
BIRTH DEFECTS CLIN MED RES CTR SICHUAN PROV,1,0.003
BIRUNI UNIVERSITY,1,0.003
BIRZEIT UNIV ICPH BZU,1,0.003
BISHOPS UNIVERSITY,1,0.003
BISPEBJERG FREDERIKSBERG HOSP,1,0.003
BLACK DOG INSTITUTE,1,0.003
BLACK ENTERTAINMENT TELEVIS,1,0.003
BLACK FAMILY INC,1,0.003
BLACK HLTH COALIT WISCONSIN INC,1,0.003
BLACKFEET COMMUNITY COLL,1,0.003
BLACKPOOL VICTORIA HOSP,1,0.003
BLANCHARD VALLEY MED ASSOCIATES,1,0.003
BLANCHETTE ROCKEFELLER NEUROSCI INST,1,0.003
BLDE DEEMED UNIV,1,0.003
BLDEAS SHRI BM PATIL INST NURSING SCI,1,0.003
BLEVINS OMEARA INSIGHTS,1,0.003
BLOOMINGTON JR HIGH SCH,1,0.003
BLOSSOM DMO,1,0.003
BLOSSOM DMO ARGENTINA,1,0.003
BLUE CROSS BLUE SHIELD,1,0.003
BLUE CROSS BLUE SHIELD MINNESOTA,1,0.003
BLUEPRINT GENET,1,0.003
BM REDDY COLL PHARM,1,0.003
BML INC,1,0.003
BMRG,1,0.003
BMZ ANALYT,1,0.003
BOARD BEHAV COGNIT SENSORY SCI BBCSS,1,0.003
BOARD INT SCI ORG,1,0.003
BOCA RATON CLIN RES GLOBAL PERU,1,0.003
BOCA RATON COMMUNITY HOSP,1,0.003
BOCA RATON REG HOSP,1,0.003
BODEN HOSP,1,0.003
BOKOI TENSHI HOSP,1,0.003
BOMBAY HOSPITAL MEDICAL RESEARCH CENTRE,1,0.003
BONIFARM POLICLIN,1,0.003
BOONE HEART INST,1,0.003
BOONSHOFT SCH MED,1,0.003
BORDEAUX UNIV,1,0.003
BOSTON ARTS ACAD,1,0.003
BOSTON BLACK WOMENS HLTH INST,1,0.003
BOSTON HEART DIAGNOST,1,0.003
BOSTON NUTR FDN MILLENNIUM PREVENT,1,0.003
BOSTON NUTR FDN MILLENNIUM PREVENT INC,1,0.003
BOSTON SCI INC,1,0.003
BOSTON UNVIVERS,1,0.003
BOSTON VA HEALTHCARE,1,0.003
BOSTON VA OUTPATIENT CLIN,1,0.003
BOSTON VET HEALTHCARE,1,0.003
BOTUCATU MED SCH,1,0.003
BOUT STUDIO CTR VJEZBAON,1,0.003
BOX HILL HOSPITAL,1,0.003
BOYS GIRLS ADULTS COMMUNITY DEV CENTER,1,0.003
BOYS TOWN CHILD FAMILY TRANSLAT RES CTR,1,0.003
BRAC,1,0.003
BRADFORD ROYAL INFIRMARY,1,0.003
BRADFORD TEACHING HOSP NHS FDN TRUST,1,0.003
BRADLEY HOSP,1,0.003
BRAIN HOSP HUNAN PROV,1,0.003
BRAIN RES REHABIL CTR,1,0.003
BRAIN RES REHABIL CTR NEURON,1,0.003
BRAINS ON LINE,1,0.003
BRAINTREE REHABIL HOSP,1,0.003
BRAMPTON CIV HOSP,1,0.003
BRANDENBURG UNIVERSITY OF TECHNOLOGY COTTBUS,1,0.003
BRANDON REG HOSP,1,0.003
BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY,1,0.003
BRAZILIAN INST CONSUMER DEF IDEC,1,0.003
BRAZILIAN INST TEACHING RES PULM EXERCISE IMM,1,0.003
BREATHE,1,0.003
BRENTWOOD VET ADM MED CTR,1,0.003
BRIDE,1,0.003
BRIDGEPORT HOSP,1,0.003
BRIGHAM WOMENS FAULKNER HOSPITALIST PROGRAM,1,0.003
BRIGHAM WOMENS FAULKNER HOSPITALIST SERV,1,0.003
BRIGHAM WOMENS HOSP BOSTON,1,0.003
BRIGHAM WOMENS HOSP CARDIOVASC MED,1,0.003
BRISBANE BRONCOS RUGBY LEAGUE CLUB,1,0.003
BRISTOL BIOMED RES CTR,1,0.003
BRISTOL MEYERS SQUIBB GMBH CO,1,0.003
BRISTOL NIHR BIOMED RES CTR,1,0.003
BRISTOL ROYAL HOSPITAL FOR CHILDREN,1,0.003
BRISTOL ROYAL INFIRMARY,1,0.003
BRITISH COLUMBIA CTR SUBST USE,1,0.003
BRITISH COLUMBIA MINIST HLTH,1,0.003
BRITISH COLUMBIA RENAL AGCY,1,0.003
BRITISH TRIATHLON,1,0.003
BRNO UNIVERSITY OF TECHNOLOGY,1,0.003
BROAD INST,1,0.003
BROD GRP,1,0.003
BRONOVO HOSPITAL,1,0.003
BRONX CARE HLTH SYST,1,0.003
BRONX VA MED CTR,1,0.003
BROOKDALE UNIV HOSP MED CTR,1,0.003
BROOKINGS INSTITUTION,1,0.003
BROOKLYN HLTH DISPAR CTR,1,0.003
BROWNS SUPER STORES INC,1,0.003
BRUCE W CARTER DEPT VET AFFAIRS MED CTR,1,0.003
BRUKSEL ZIEKENHUIS UNIV,1,0.003
BRUSSELS CAPITAL HLTH SOCIAL OBSERV,1,0.003
BRYAN LGH HEART INST,1,0.003
BRYANT UNIV,1,0.003
BUCHEON DAESUNG HOSP,1,0.003
BUCKINGHAMSHIRE NEW UNIVERSITY,1,0.003
BUCKINGHAMSHIRE NHS TRUST,1,0.003
BUEA REG HOSP,1,0.003
BUENOS AIRES UNIV UBA,1,0.003
BUFFALO BILLS,1,0.003
BUFFALO SABRES,1,0.003
BUMRUNGRAD HOSP,1,0.003
BUNDANG HOSP,1,0.003
BUNDANG JESAENG HOSP,1,0.003
BUNDESVERBAND PNEUMOLOGEN SCHLAF BEATMUNGSMED,1,0.003
BUNKYO UNIV,1,0.003
BUNKYOGAKUINN UNIV,1,0.003
BUR CHRON DIS PREVENT HEALTHCARE ACCESS,1,0.003
BUR ENVIRONM HLTH,1,0.003
BUR HLTH SERV,1,0.003
BUR JUSTICE STAT,1,0.003
BUR TRANSPORT STAT TRANSPORT NSW,1,0.003
BURDOCK GRP,1,0.003
BURDWAN MED COLL,1,0.003
BUSAN PUBL HLTH POLICY INST,1,0.003
BUSAN UNIV HOSP,1,0.003
BUSHEHR UNIV MED SCI,1,0.003
BUTABIKA NATL PSYCHIAT REFERRAL HOSP,1,0.003
BYRAMJEE JEEJEEBHOY GOVT MED COLL JOHNS HOPKINS U,1,0.003
BYRAMJEE JEEJEEBHOY GOVT MED COLL SASSOON GEN H,1,0.003
CA GRANDA IRCCS FDN OSPED POLICLIN,1,0.003
CA TECHNOL,1,0.003
CABINET CARDIOL,1,0.003
CABRINI EPWORTH HEALTHCARE GRP,1,0.003
CADI RES FDN,1,0.003
CAISSE NATL ASSURANCE MALADIE TRAVAILLEURS SALARI,1,0.003
CAISSE PRIMAIRE ASSURANCE MALAD SEINE ST DENIS,1,0.003
CALAB MED LABS,1,0.003
CALAB RES,1,0.003
CALCISCON AG,1,0.003
CALCUTTA MED COLL,1,0.003
CALCUTTA NATL MED COLL,1,0.003
CALGARY STROKE PROGRAM,1,0.003
CALIF ENDOWMENT,1,0.003
CALIF ENDOWMENTS HEALTHY COMMUNITIES DISPAR HLTH,1,0.003
CALIF NATL PRIMATE RES CTR,1,0.003
CALIF OFF ENVIRONM HLTH HAZARD ASSESSMENT,1,0.003
CALIF STATE UNIV,1,0.003
CALIF SUBST ABUSE TREATMENT CTR,1,0.003
CALIF TRIBAL EPIDEMIOL CTR,1,0.003
CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY,1,0.003
CALIFORNIA LUTHERAN UNIVERSITY,1,0.003
CALIFORNIA STATE UNIVERSITY DOMINGUEZ HILLS,1,0.003
CALIFORNIA STATE UNIVERSITY EAST BAY,1,0.003
CALIFORNIA STATE UNIVERSITY STANISLAUS,1,0.003
CALLE ACUARIO,1,0.003
CALO PSYCHIAT CTR,1,0.003
CAMBRIDGE CLIN TRIALS UNIT,1,0.003
CAMBRIDGE HLTH ALLIANCE,1,0.003
CAMBRIDGE HOSPITAL,1,0.003
CAMBRIDGE PETERBOROUGH NHS FDN TRUST CPFT,1,0.003
CAMBRIDGE UNIV HOSP NHS FDN,1,0.003
CAMBRIDGESHIRE PETERBOROUGH NHS FDN TRUST,1,0.003
CAMBRILS PK RESORT CAMPING SANGULI,1,0.003
CAMDEN ISLINGTON FDN TRUST,1,0.003
CAMILO JOSE CELA UNIVERSITY,1,0.003
CAMNR,1,0.003
CAMPAIGN TOBACCO FREE KIDS,1,0.003
CAMPBELLTOWN HOSP,1,0.003
CAMPDEN BRI,1,0.003
CAMPDEN CHORLEYWOOD FOOD RES ASSOC,1,0.003
CAMPINA INNOVAT,1,0.003
CAMPO DI MARTE HOSP,1,0.003
CAMPULUNG MOLDOVENESC PSYCHIAT HOSP,1,0.003
CANADIAN ARMED FORCES,1,0.003
CANADIAN CTR FUNCT MED,1,0.003
CANADIAN CTR SUBST USE ADDICT,1,0.003
CANADIAN FOOD INSPECTION AGENCY,1,0.003
CANADIAN FORCES ENVIRONM MED ESTAB,1,0.003
CANADIAN HLTH CTR,1,0.003
CANADIAN PAEDIAT SOC,1,0.003
CANADIAN PREMATURE BABIES FDN,1,0.003
CANADIAN STROKE CONSORTIUM,1,0.003
CANADIAN WOMENS HEART HLTH ALLIANCE,1,0.003
CANADIANS SAFE ACCESS,1,0.003
CANAKKALE ONSEKIZ MART UNIVERSITY,1,0.003
CANC CARE,1,0.003
CANC CARE NORTHWEST,1,0.003
CANC COUNCIL S AUSTRALIA,1,0.003
CANC COUNCIL SOUTH AUSTRALIA,1,0.003
CANC COUNCIL WESTERN AUSTRALIA,1,0.003
CANC LEUKEMIA GRP B,1,0.003
CANC PREVENT RES PROGRAM,1,0.003
CANC REGISTRY,1,0.003
CANC RES INST,1,0.003
CANCER COUNCIL QUEENSLAND,1,0.003
CANCER INSTITUTE HOSPITAL CAMS,1,0.003
CANCER PREVENT INST CALIF,1,0.003
CANCERCARE MANITOBA FOUNDATION,1,0.003
CANCERCONTROL ALBERTA,1,0.003
CANISIUS WILHELMINA HOSPITAL,1,0.003
CANTERBURY HEALTH LABORATORIES,1,0.003
CANTON LAB CLIN HEMATOL CHEM,1,0.003
CAP ALCOVER,1,0.003
CAP CENTELLES,1,0.003
CAP EL REMEI,1,0.003
CAP LA MINA,1,0.003
CAP MARTORELL,1,0.003
CAPES,1,0.003
CAPITAL ALLERGY RESP DIS CTR,1,0.003
CAPITAL HLTH,1,0.003
CAPITAL REG,1,0.003
CAPITAL REGION DENMARK,1,0.003
CAPITAL ROOTS,1,0.003
CAPITOL CARDIOL ASSOCIATES,1,0.003
CAPNETZ STIFTUNG,1,0.003
CAPSA FOOD,1,0.003
CARATTERE SCI IST NEUROL CARLO BESTA,1,0.003
CARDIA COORDINATING CTR,1,0.003
CARDIAC INVESTIGAT UNIT,1,0.003
CARDIAC RISK YOUNG EPSOM DOWNS METRO CTR,1,0.003
CARDIFF UNIV,1,0.003
CARDINAL STEFAN WYSZYNSKI INST CARDIOL,1,0.003
CARDINAL TIEN GEN HOSP,1,0.003
CARDINAL TIEN HOSPITAL,1,0.003
CARDINAL TIEN JR COLL HEALTHCARE MANAGEMENT,1,0.003
CARDIO CLIN VALE,1,0.003
CARDIO DIAGNOST,1,0.003
CARDIOANGIOL CTR BETHANIEN,1,0.003
CARDIOCTR LUGANO,1,0.003
CARDIOECO CTR DIAGNOST CARDIOVASC,1,0.003
CARDIOL CENTERS,1,0.003
CARDIOL CONSULTANTS ORANGE CTY,1,0.003
CARDIOL CTR MED,1,0.003
CARDIOL CTR NETHERLANDS,1,0.003
CARDIOL DIAGNOST CTR,1,0.003
CARDIOL GRP FRANKFURT,1,0.003
CARDIOL ITALIANA TERR ANCE,1,0.003
CARDIOL OUTPATIENT CLIN TAL,1,0.003
CARDIOMETAB EXERCISE LIFESTYLE LAB,1,0.003
