Accession_Number,DOI,Pubmed_ID,Article_Title,Link,Authors,Source,Research_Area,Document Type,Volume,Issue,Pages,Publication_Date,Times_Cited,Journal_Expected_Citations,Category_Expected_Citations,Journal_Normalized_Citation_Impact,Category_Normalized_Citation_Impact,Percentile_in_Subject_Area,Journal_Impact_Factor
WOS:000325755300014,10.1016/j.atherosclerosis.2013.08.038,MEDLINE:24125414,Subclinical atherosclerotic calcification and cognitive functioning in middle-aged adults: The CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000325755300014,"Reis, Jared P.; Launer, Lenore J.; Terry, James G.; Loria, Catherine M.; Al Hazzouri, Adina Zeki; Sidney, Stephen; Yaffe, Kristine; Jacobs, David R., Jr.; Whitlow, Christopher T.; Zhu, Na; Carr, J. Jeffrey",ATHEROSCLEROSIS,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE,Article,231,1,72-77,2013,28,20.418733,22.25,1.37,1.2582,20.4922,3.919
WOS:000326537800002,10.5665/sleep.3104,MEDLINE:24179290,Longitudinal Associations between Objective Sleep and Lipids: The CARDIA Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000326537800002,"Petrov, Megan E. Ruiter; Kim, Yongin; Lauderdale, Diane; Lewis, Cora E.; Reis, Jared P.; Carnethon, Mercedes R.; Knutson, Kristen; Glasser, Stephen J.",SLEEP,CLINICAL NEUROLOGY; NEUROSCIENCES,Article,36,11,1587-1595,2013,29,33.770408,21.83,0.86,1.3283,18.7063,4.805
WOS:000327911100002,10.1016/j.socscimed.2013.07.031,MEDLINE:24161083,"Race, life course socioeconomic position, racial discrimination, depressive symptoms and self-rated health",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000327911100002,"Hudson, Darrell L.; Puterrnan, Eli; Bibbins-Domingo, Kirsten; Matthews, Karen A.; Adler, Nancy E.",SOCIAL SCIENCE & MEDICINE,"SOCIAL SCIENCES, BIOMEDICAL; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,97,n/a,14-Jul,2013,60,23,14.77,2.61,4.0626,2.4641,3.616
WOS:000321472600023,10.2337/dc12-1842,MEDLINE:23423697,Mercury Exposure in Young Adulthood and Incidence of Diabetes Later in Life The CARDIA Trace Element Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000321472600023,"He, Ka; Xun, Pengcheng; Liu, Kiang; Morris, Steve; Reis, Jared; Guallar, Eliseo",DIABETES CARE,ENDOCRINOLOGY & METABOLISM,Article,36,6,1584-1589,2013,52,56.718494,23.97,0.92,2.1694,9.6452,16.019
WOS:000318167900012,10.1093/nar/gkt092,MEDLINE:23408856,Efficient identification of rare variants in large populations: deep re-sequencing the CRP locus in the CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000318167900012,"Chen, Christina T. L.; McDavid, Andrew N.; Kahsai, Orsalem J.; Zebari, Ahmad S.; Carlson, Christopher S.",NUCLEIC ACIDS RESEARCH,BIOCHEMISTRY & MOLECULAR BIOLOGY,Article,41,7,n/a,2013,3,65.290592,25.95,0.05,0.1156,90.2332,11.501
WOS:000330102100011,10.1111/joim.12120,MEDLINE:23952533,Longitudinal association between serum urate and subclinical atherosclerosis: the Coronary Artery Risk Development in Young Adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000330102100011,"Wang, H.; Jacobs, D. R., Jr.; Gaffo, A. L.; Gross, M. D.; Goff, D. C., Jr.; Carr, J. J.",JOURNAL OF INTERNAL MEDICINE,PERIPHERAL VASCULAR DISEASE,Article,274,6,594-609,2013,21,34.153846,23.19,0.61,0.9055,32.3784,6.871
WOS:000325100000004,10.1007/s10654-013-9842-7,MEDLINE:24030512,White blood cell count in young adulthood and coronary artery calcification in early middle age: coronary artery risk development in young adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000325100000004,"Hou, Lifang; Lloyd-Jones, Donald M.; Ning, Hongyan; Huffman, Mark D.; Fornage, Myriam; He, Ka; Zhang, Xiao; Jacobs, David R.; Goff, David C.; Sidney, Steve; Carr, Jeffrey J.; Liu, Kiang",EUROPEAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,28,9,735-742,2013,15,33.47561,15.26,0.45,0.9827,30.9515,7.135
WOS:000321835700015,10.1001/jama.2013.7833,MEDLINE:23860986,Association Between Duration of Overall and Abdominal Obesity Beginning in Young Adulthood and Coronary Artery Calcification in Middle Age,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000321835700015,"Reis, Jared P.; Loria, Catherine M.; Lewis, Cora E.; Powell-Wiley, Tiffany M.; Wei, Gina S.; Carr, J. Jeffrey; Terry, James G.; Liu, Kiang",JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,ENDOCRINOLOGY & METABOLISM,Article,310,3,280-288,2013,81,165.781095,23.97,0.49,3.3793,4.2266,45.54
WOS:000329805500037,10.1136/bmjopen-2013-002944,MEDLINE:23847267,Long-term change in alcohol-consumption status and variations in fibrinogen levels: the coronary artery risk development in young adults ( CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000329805500037,"Okwuosa, Tochi M.; Klein, Oana; Chan, Cheeling; Schreiner, Pamela; Liu, Kiang; Green, David",BMJ OPEN,CARDIAC & CARDIOVASCULAR SYSTEMS,Article,3,7,n/a,2013,4,17.932222,21.39,0.22,0.187,75.8829,2.496
WOS:000324270100007,10.1007/s00011-013-0652-x,MEDLINE:23959159,Antiphospholipid antibodies and sub-clinical atherosclerosis in the Coronary Artery Risk Development in Young Adults (CARDIA) cohort,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000324270100007,"Majka, Darcy S.; Liu, Kiang; Pope, Richard M.; Karlson, Elizabeth W.; Vu, Thanh-Huyen T.; Teodorescu, Marius; Chang, Rowland W.",INFLAMMATION RESEARCH,IMMUNOLOGY; CELL BIOLOGY,Article,62,10,919-927,2013,15,16.198113,28.81,0.93,0.5206,46.7234,3.174
WOS:000330015300006,10.1016/j.annepidem.2013.06.003,MEDLINE:23889858,Associations of retrospective and concurrent lipid levels with subclinical atherosclerosis prediction after 20 years of follow-up: the Coronary Artery Risk Development in Young Adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000330015300006,"Raynor, Lewis A.; Schreiner, Pamela J.; Loria, Catherine M.; Carr, J. Jeffrey; Pletcher, Mark J.; Shikany, James M.",ANNALS OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,23,8,492-497,2013,4,13.442623,15.26,0.3,0.2621,74.1447,2.573
WOS:000322784700013,10.1053/j.ajkd.2013.02.363,MEDLINE:23601954,"Lifestyle-Related Factors, Obesity, and Incident Microalbuminuria: The CARDIA (Coronary Artery Risk Development in Young Adults) Study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000322784700013,"Chang, Alex; Van Horn, Linda; Jacobs, David R., Jr.; Liu, Kiang; Muntner, Paul; Newsome, Britt; Shoham, David A.; Durazo-Arvizu, Ramon; Bibbins-Domingo, Kirsten; Reis, Jared; Kramer, Holly",AMERICAN JOURNAL OF KIDNEY DISEASES,UROLOGY & NEPHROLOGY,Article,62,2,267-275,2013,69,30.406091,16.84,2.27,4.0972,3.0849,6.618
WOS:000324749500048,10.2337/dc13-0316,MEDLINE:23775814,Breakfast Frequency and Development of Metabolic Risk,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000324749500048,"Odegaard, Andrew O.; Jacobs, David R., Jr.; Steffen, Lyn M.; Van Horn, Linda; Ludwig, David S.; Pereira, Mark A.",DIABETES CARE,ENDOCRINOLOGY & METABOLISM,Article,36,10,3100-3106,2013,69,56.718494,23.97,1.22,2.8787,5.6582,16.019
WOS:000330824400006,10.1016/j.psyneuen.2013.07.016,MEDLINE:23969421,Indirect effect of financial strain on daily cortisol output through daily negative to positive affect index in the Coronary Artery Risk Development in Young Adults Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000330824400006,"Puterman, Eli; Haritatos, Jana; Adler, Nancy E.; Sidney, Steve; Schwartz, Joseph E.; Epel, Elissa S.",PSYCHONEUROENDOCRINOLOGY,PSYCHIATRY; ENDOCRINOLOGY & METABOLISM; NEUROSCIENCES,Article,38,12,2883-2889,2013,5,33.976744,22.67,0.15,0.2205,73.5566,4.732
WOS:000328002000006,10.3945/ajcn.113.058826,MEDLINE:24088719,"Associations between food groups, dietary patterns, and cardiorespiratory fitness in the Coronary Artery Risk Development in Young Adults study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000328002000006,"Shikany, James M.; Jacobs, David R., Jr.; Lewis, Cora E.; Steffen, Lyn M.; Sternfeld, Barbara; Carnethon, Mercedes R.; Richman, Joshua S.",AMERICAN JOURNAL OF CLINICAL NUTRITION,NUTRITION & DIETETICS,Article,98,6,1402-1409,2013,11,46.306709,19.68,0.24,0.5589,55.5891,6.766
WOS:000326919300018,10.1161/HYPERTENSIONAHA.113.01539,MEDLINE:24041951,Evaluating the Framingham Hypertension Risk Prediction Model in Young Adults The Coronary Artery Risk Development in Young Adults (CARDIA) Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000326919300018,"Carson, April P.; Lewis, Cora E.; Jacobs, David R., Jr.; Peralta, Carmen A.; Steffen, Lyn M.; Bower, Julie K.; Person, Sharina D.; Muntner, Paul",HYPERTENSION,PERIPHERAL VASCULAR DISEASE,Article,62,6,1015-1020,2013,12,37.096154,23.19,0.32,0.5174,53.1555,7.713
WOS:000312807700037,10.1016/j.atherosclerosis.2012.10.043,MEDLINE:23177973,13-year long-term associations between changes in traditional cardiovascular risk factors and changes in fibrinogen levels: The Coronary Artery Risk Development in Young Adults (CARDIA) study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000312807700037,"Okwuosa, Tochi M.; Klein, Oana; Chan, Cheeling; Jenny, Nancy Swords; Schreiner, Pamela; Green, David; Liu, Kiang",ATHEROSCLEROSIS,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE,Article,226,1,214-219,2013,17,20.418733,22.25,0.83,0.7639,35.3455,3.919
WOS:000313135600023,10.3945/ajcn.112.041145,MEDLINE:23193002,Intakes of long-chain omega-3 (n-3) PUFAs and fish in relation to incidence of asthma among American young adults: the CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000313135600023,"Li, Jingjing; Xun, Pengcheng; Zamora, Daisy; Sood, Akshay; Liu, Kiang; Daviglus, Martha; Iribarren, Carlos; Jacobs, David, Jr.; Shikany, James M.; He, Ka",AMERICAN JOURNAL OF CLINICAL NUTRITION,NUTRITION & DIETETICS,Article,97,1,173-178,2013,38,46.306709,19.68,0.82,1.9306,13.0871,6.766
WOS:000321088600015,10.1016/j.maturitas.2013.04.015,MEDLINE:23707105,Assessing the utility of methods for menopausal transition classification in a population-based cohort: The CARDIA Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000321088600015,"Whitham, Hilary K.; MacLehose, Richard F.; Harlow, Bernard L.; Wellons, Melissa F.; Schreiner, Pamela J.",MATURITAS,OBSTETRICS & GYNECOLOGY; GERIATRICS & GERONTOLOGY,Article,75,3,289-293,2013,2,15.414141,16.94,0.13,0.1181,85.0161,3.63
WOS:000319782100029,10.2337/dc12-1714,MEDLINE:23248193,Duration of Abdominal Obesity Beginning in Young Adulthood and Incident Diabetes Through Middle Age The CARDIA Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000319782100029,"Reis, Jared P.; Hankinson, Arlene L.; Loria, Catherine M.; Lewis, Cora E.; Powell-Wiley, Tiffany; Wei, Gina S.; Liu, Kiang",DIABETES CARE,ENDOCRINOLOGY & METABOLISM,Article,36,5,1241-1247,2013,28,56.718494,23.97,0.49,1.1682,25.0513,16.019
WOS:000325365900038,10.1210/jc.2013-2198,MEDLINE:23966240,A Cross-Sectional Association Between Bone Mineral Density and Parathyroid Hormone and Other Biomarkers in Community-Dwelling Young Adults: The CARDIA Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000325365900038,"Fujiyoshi, Akira; Polgreen, Lynda E.; Hurley, Daniel L.; Gross, Myron D.; Sidney, Stephen; Jacobs, David R., Jr.",JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,ENDOCRINOLOGY & METABOLISM,Article,98,10,4038-4046,2013,9,37.4834,23.97,0.24,0.3755,67.528,5.399
WOS:000316037000019,10.1016/j.freeradbiomed.2012.08.574,MEDLINE:22982044,Dietary patterns are associated with plasma F-2-isoprostanes in an observational cohort study of adults,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000316037000019,"Meyer, Katie A.; Sijtsma, Femke P. C.; Nettleton, Jennifer A.; Steffen, Lyn M.; Van Horn, Linda; Shikany, James M.; Gross, Myron D.; Mursu, Jaakko; Traber, Maret G.; Jacobs, David R., Jr.",FREE RADICAL BIOLOGY AND MEDICINE,ENDOCRINOLOGY & METABOLISM; BIOCHEMISTRY & MOLECULAR BIOLOGY,Article,57,n/a,201-209,2013,30,30.106707,24.92,1,1.2039,22.7983,6.17
WOS:000322784700012,10.1053/j.ajkd.2013.01.012,MEDLINE:23473985,Trajectories of Kidney Function Decline in Young Black and White Adults With Preserved GFR: Results From the Coronary Artery Risk Development in Young Adults (CARDIA) Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000322784700012,"Peralta, Carmen A.; Vittinghoff, Eric; Bansal, Nisha; Jacobs, David, Jr.; Muntner, Paul; Kestenbaum, Bryan; Lewis, Cora; Siscovick, David; Kramer, Holly; Shlipak, Michael; Bibbins-Domingo, Kirsten",AMERICAN JOURNAL OF KIDNEY DISEASES,UROLOGY & NEPHROLOGY,Article,62,2,261-266,2013,35,30.406091,16.84,1.15,2.0783,11.3911,6.618
WOS:000326238500019,10.1177/2047487312460017,MEDLINE:22952292,"Association of isolated minor non-specific ST-segment and T-wave abnormalities with subclinical atherosclerosis in a middle-aged, biracial population: Coronary Artery Risk Development in Young Adults (CARDIA) study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000326238500019,"Walsh, Joseph A., III; Prineas, Ronald; Soliman, Elsayed Z.; Liu, Kiang; Ning, Hongyan; Daviglus, Martha L.; Lloyd-Jones, Donald M.",EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY,CARDIAC & CARDIOVASCULAR SYSTEMS,Article,20,6,1035-1041,2013,7,17,21.39,0.41,0.3273,63.1318,5.864
WOS:000320181600001,10.1080/13557858.2012.713092,MEDLINE:22913715,"Racial discrimination, racial/ethnic segregation, and health behaviors in the CARDIA study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000320181600001,"Borrell, Luisa N.; Kiefe, Catarina I.; Diez-Roux, Ana V.; Williams, David R.; Gordon-Larsen, Penny",ETHNICITY & HEALTH,"ETHNIC STUDIES; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,18,3,227-243,2013,54,15.918919,6.94,3.39,7.7847,0.806,2.554
WOS:000322734500009,10.1093/aje/kws581,MEDLINE:23813702,Estimated Kidney Function Based on Serum Cystatin C and Risk of Subsequent Coronary Artery Calcium in Young and Middle-aged Adults With Preserved Kidney Function: Results From the CARDIA Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000322734500009,"Bansal, Nisha; Vittinghoff, Eric; Peralta, Carmen A.; Shlipak, Michael G.; Grubbs, Vanessa; Jacobs, David R.; Siscovick, David; Steffes, Michael; Carr, John Jeffrey; Bibbins-Domingo, Kirsten",AMERICAN JOURNAL OF EPIDEMIOLOGY,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,178,3,410-417,2013,7,35.227425,15.26,0.2,0.4586,58.3939,4.526
WOS:000316693200006,10.1002/ana.23836,MEDLINE:23443990,Cardiovascular health through young adulthood and cognitive functioning in midlife,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000316693200006,"Reis, Jared P.; Loria, Catherine M.; Launer, Lenore J.; Sidney, Stephen; Liu, Kiang; Jacobs, David R., Jr.; Zhu, Na; Lloyd-Jones, Donald M.; He, Ka; Yaffe, Kristine",ANNALS OF NEUROLOGY,CLINICAL NEUROLOGY; NEUROSCIENCES,Article,73,2,170-179,2013,70,66.340909,21.83,1.06,3.2063,3.942,9.037
WOS:000319683100006,10.1007/s11524-012-9729-z,MEDLINE:22752301,Housing Instability and Incident Hypertension in the CARDIA Cohort,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000319683100006,"Vijayaraghavan, M.; Kushel, M. B.; Vittinghoff, E.; Kertesz, S.; Jacobs, D.; Lewis, C. E.; Sidney, S.; Bibbins-Domingo, K.",JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,90,3,427-441,2013,5,16.457143,15.26,0.3,0.3276,68.5335,2.356
WOS:000317644900001,10.1331/JAPhA.2013.13508,MEDLINE:23450370,APhA2013 abstracts of contributed papers Abstracts,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000317644900001,[Anonymous],JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,PHARMACOLOGY & PHARMACY,Article,53,2,E8-E117,2013,0,11.074627,16.48,0,0,100,2.772
WOS:000315442500020,10.1007/s11356-012-1126-3,MEDLINE:22926255,Distributions and determinants of mercury concentrations in toenails among American young adults: the CARDIA Trace Element Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000315442500020,"Xun, Pengcheng; Liu, Kiang; Morris, J. Steve; Jordan, Joanne M.; He, Ka",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,ENVIRONMENTAL SCIENCES,Article,20,3,1423-1430,2013,8,21.559301,22.97,0.37,0.3483,66.665,3.056
WOS:000321338400012,10.1136/annrheumdis-2012-201916,MEDLINE:22984170,Serum urate association with hypertension in young adults: analysis from the Coronary Artery Risk Development in Young Adults cohort,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000321338400012,"Gaffo, Angelo L.; Jacobs, David R., Jr.; Sijtsma, Femke; Lewis, Cora E.; Mikuls, Ted R.; Saag, Kenneth G.",ANNALS OF THE RHEUMATIC DISEASES,RHEUMATOLOGY,Article,72,8,1321-1327,2013,25,54.965035,21.03,0.45,1.1887,25.3581,16.102
WOS:000314639200009,10.1017/S0021932012000429,MEDLINE:22856616,CHANGES IN WAIST CIRCUMFERENCE AND BODY MASS INDEX IN THE US CARDIA COHORT: FIXED-EFFECTS ASSOCIATIONS WITH SELF-REPORTED EXPERIENCES OF RACIAL/ETHNIC DISCRIMINATION,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000314639200009,"Cunningham, Timothy J.; Berkman, Lisa F.; Kawachi, Ichiro; Jacobs, David R., Jr.; Seeman, Teresa E.; Kiefe, Catarina I.; Gortmaker, Steven L.",JOURNAL OF BIOSOCIAL SCIENCE,"DEMOGRAPHY; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; SOCIAL SCIENCES, BIOMEDICAL",Article,45,2,267-278,2013,28,7.509091,12.5,3.73,2.2402,9.43,1.207
WOS:000324526900024,10.1161/CIRCIMAGING.112.000450,MEDLINE:23922005,Longitudinal Determinants of Left Ventricular Mass and Geometry The Coronary Artery Risk Development in Young Adults (CARDIA) Study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000324526900024,"Gidding, Samuel S.; Liu, Kiang; Colangelo, Laura A.; Cook, Nakela L.; Goff, David C.; Glasser, Stephen P.; Gardin, Julius M.; Lima, Joao A. C.",CIRCULATION-CARDIOVASCULAR IMAGING,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; CARDIAC & CARDIOVASCULAR SYSTEMS",Article,6,5,769-775,2013,61,40.815126,19.52,1.49,3.1243,4.3303,5.691
WOS:000319051400010,10.1089/met.2012.0120,MEDLINE:23438155,Association of Metabolic Risk with Longitudinal Physical Activity and Fitness: Coronary Artery Risk Development in Young Adults (CARDIA),https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000319051400010,"Camhi, Sarah M.; Katzmarzyk, Peter T.; Broyles, Stephanie; Church, Timothy S.; Hankinson, Arlene L.; Carnethon, Mercedes R.; Sternfeld, Barbara; Lewis, Cora E.",METABOLIC SYNDROME AND RELATED DISORDERS,"MEDICINE, RESEARCH & EXPERIMENTAL",Article,11,3,195-204,2013,4,10.413793,19.71,0.38,0.2029,77.0266,1.654
WOS:000317121600001,10.1186/1471-2458-13-180,MEDLINE:23448132,Reproducibility of physical activity recall over fifteen years: longitudinal evidence from the CARDIA study,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000317121600001,"Smith, Ashley Wilder; Cronin, Kathleen A.; Bowles, Heather; Willis, Gordon; Jacobs, David R., Jr.; Ballard-Barbash, Rachel; Troiano, Richard P.",BMC PUBLIC HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Article,13,n/a,n/a,2013,7,18.243085,15.26,0.38,0.4586,58.3939,2.521
WOS:000314888600016,10.1161/HYPERTENSIONAHA.111.00143,MEDLINE:23319540,"Preterm Birth and Future Maternal Blood Pressure, Inflammation, and Intimal-medial Thickness The CARDIA Study",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000314888600016,"Catov, Janet M.; Lewis, Cora E.; Lee, Minjae; Wellons, Melissa F.; Gunderson, Erica P.",HYPERTENSION,PERIPHERAL VASCULAR DISEASE,Article,61,3,641-+,2013,31,37.096154,23.19,0.84,1.3366,20.1844,7.713
WOS:000327103900010,10.1016/j.jand.2013.05.022,MEDLINE:23876450,Weight Gain among Men and Women Who Have a Child Enter Their Home,https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000327103900010,"Laroche, Helena H.; Wallace, Robert B.; Snetselaar, Linda; Hillis, Stephen L.; Cai, Xueya; Steffen, Lyn M.",JOURNAL OF THE ACADEMY OF NUTRITION AND DIETETICS,NUTRITION & DIETETICS,Article,113,11,1504-1510,2013,14,28.588235,19.68,0.49,0.7113,47.3497,4.151
WOS:000325670700020,10.1016/j.ssresearch.2013.07.010,MEDLINE:24090859,"Skin color, sex, and educational attainment in the post-civil rights era",https://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000325670700020,"Branigan, Amelia R.; Freese, Jeremy; Patir, Assaf; McDade, Thomas W.; Liu, Kiang; Kiefe, Catarina I.",SOCIAL SCIENCE RESEARCH,SOCIOLOGY,Article,42,6,1659-1674,2013,22,18.247934,8.39,1.21,2.623,10.7108,1.959
