Funding_Agencies,records,percent_of_total
FONDAZIONE COMUNITA NOVARESE ONLUS,1,0.003
FONDAZIONE DON GNOCCHI,1,0.003
FONDAZIONE ISTITUTO BANCO NAPOLI ITALY,1,0.003
FONDAZIONE LOMBARDIA PER L AMBIENTE MILAN ITALY,1,0.003
FONDAZIONE ONLUS CAMILLO DE LELLIS PER L INNOVAZIONE E LA RICERCA IN MEDICINA PESCARA ITALY,1,0.003
FONDAZIONE PIETRO MANODORI OF REGGIO EMILIA,1,0.003
FONDAZIONE PROGETTO EMATOLOGIA VICENZA ITALY,1,0.003
FONDAZIONE RI MED ITALY,1,0.003
FONDAZIONE ROMEO ED ENRICA INVERNIZZI MILANO ITALY,1,0.003
FONDAZIONE TOSCANA G MONASTERIO CNR ITALY,1,0.003
FONDAZIONE UMBERTO VERONESI,1,0.003
FONDAZIONE VENETO BANCA,1,0.003
FONDEF,1,0.003
FONDI DI ATENEO UNICAL,1,0.003
FONDO DE INVESTIGACION EN SALUD,1,0.003
FONDO DE INVESTIGACION EN SALUD IMSS FIS MEXICO,1,0.003
FONDO DE INVESTIGACION PARA LA SALUD INSTITUTO CARLOS III MADRID,1,0.003
FONDO DE INVESTIGACION SANITARIA FIS GRANT,1,0.003
FONDO DE INVESTIGACION SANITARIA FONDO EUROPEO DE DESARROLLO REGIONAL,1,0.003
FONDO DE INVESTIGACION SANITARIA FONDO EUROPEO DE DESARROLLO REGIONAL PROYECTO DE INVESTIGACION PI,1,0.003
FONDO DE INVESTIGACION SANITARIA FROM INSTITUTO DE SALUD CARLOS III SPANISH MINISTRY OF ECONOMY AND COMPETITIVENESS,1,0.003
FONDO DE INVESTIGACION SANITARIA ISCIII MINISTERIO DE SANIDAD Y SERVICIOS SOCIALES SPAIN,1,0.003
FONDO DE INVESTIGACION SANITARIA ISCIII MINISTERO DE SANIDAD Y SERVICIOS SOCIALES SPAIN,1,0.003
FONDO DE INVESTIGACIONES SANITARIAS CIBERDEM,1,0.003
FONDO DE INVESTIGACIONN SANITARIA,1,0.003
FONDO INVESTIGACION SANITARIA FROM INSTITUTO SALUD CARLOS III ISCIII,1,0.003
FONDO NACIONAL DE CIENCIA Y TECNOLOGIA,1,0.003
FONDOS ESTRUCTURALES DE LA UNION EUROPEA FEDER,1,0.003
FONDOS ESTRUCTURALES DE LA UNION EUROPEA FEDER UNA MANERA DE HACER EUROPA,1,0.003
FONDOS PARA LAS ESTRATEGIAS DEL MINISTERIO DE SANIDAD Y POLITICA SOCIAL,1,0.003
FONDS D ENSEIGNEMENT ET DE RECHERCHE FER FROM FACULTY OF PHARMACY AT LAVAL UNIVERSITY,1,0.003
FONDS DE LA RECHERCHE DU QUEBEC EN SANTE FRQ S,1,0.003
FONDS DE LA RECHERCHE EN SAME DU QUEBEC,1,0.003
FONDS DE RECHERCHE DU QUEBEC NATURE ET TECHNOLOGIES FRQNT,1,0.003
FONDS DE RECHERCHE DU QUEBEC SANTE FRQS,1,0.003
FONDS DE RECHERCHE DU QUEBEC SANTE FRQS CLINICIAN SCIENTIST AWARD,1,0.003
FONDS DE RECHERCHE DU QUEBEC SANTE FRQS MONTREAL QUEBEC CANADA,1,0.003
FONDS DE RECHERCHE DU QUEBEC SANTE MONTREAL QUEBEC CANADA,1,0.003
FONDS DE RECHERCHE EN SANTE DU QUEBEC CHERCHEUR BOURSIER,1,0.003
FONDS DE RECHERCHE SANTE DU QUEBEC,1,0.003
FONDS DER CHEMISCHEN INDUSTRIE,1,0.003
FONDS ERASME FROM THE ERASME HOSPITAL ULB BRUSSELS BELGIUM,1,0.003
FONDS ERASME FROM THE ERASME HOSPITAL UNIVERSITE LIBRE DE BRUXELLES BRUSSELS BELGIUM,1,0.003
FONDS GENSUNDES OSTERREICH,1,0.003
FONDS NATIONAL DE RECHERCHE FNR LUXEMBOURG,1,0.003
FONDS NUTSOHRA,1,0.003
FONDSBORSVEKSELERER HENRY HANSEN OG HUSTRUS HOVEDLEGAT,1,0.003
FOOD ALLERGY PROJECT,1,0.003
FOOD AND DRUG ADMINISTRATION CDC OFFICE OF WOMEN S HEALTH NIH,1,0.003
FOOD AND DRUG ADMINISTRATION CENTER FOR TOBACCO PRODUCTS,1,0.003
FOOD AND DRUG ADMINISTRATION FDA CENTER FOR TOBACCO PRODUCTS,1,0.003
FOOD AND DRUG ADMINISTRATION THROUGH RTI INC,1,0.003
FOOD AND HEALTH BUREAU HONG KONG SAR GOVERNMENT PEOPLES REPUBLIC OF CHINA,1,0.003
FOOD ENVIRONMENT DIET QUALITY AND DISPARITIES IN OBESITY,1,0.003
FOOD GRADUATE SCHOOL,1,0.003
FOOD RESEARCH SCHOOL LIFE UNIVERSITY OF COPENHAGEN DENMARK,1,0.003
FOOD RESEARCH SCHOOL SCIENCE UNIVERSITY OF COPENHAGEN,1,0.003
FOOD SECURITY RESEARCH CENTER FSRC ISFAHAN UNIVERSITY OF MEDICAL SCIENCES ISFAHAN IRAN,1,0.003
FOOD STANDARDS AGENCY POSTGRADUATE SCHOLARSHIP SCHEME,1,0.003
FOOD STANDARDS SCOTLAND,1,0.003
FOODS STANDARDS AGENCY,1,0.003
FOOTBALL PLAYERS HEALTH STUDY AT HARVARD UNIVERSITY NFL PLAYERS ASSOCIATION NFLPA,1,0.003
FORD,1,0.003
FORD FOUNDATION PREDOCTORAL FELLOWSHIP FROM THE NATIONAL ACADEMIES OF SCIENCES ENGINEERING AND MEDICINE,1,0.003
FORDHAM UNIVERSITY,1,0.003
FOREST LABORATORIES INC,1,0.003
FOREST LABS,1,0.003
FOREST PHARMACEUTICALS,1,0.003
FOREST RESEARCH GRANTS FOR INVESTIGATOR INITIATED STUDIES,1,0.003
FOREST RESEARCH INSTITUTE,1,0.003
FORMACIO PERSONAL INVESTIGADOR,1,0.003
FORMACION DE PERSONAL INVESTIGADOR GRANT FOR SHORT RESEARCH STAYS IN FOREIGN INSTITUTIONS,1,0.003
FORSCHUNGSKREIS DER ERNAHRUNGSINDUSTRIE E V BONN GERMANY,1,0.003
FORTE,1,0.003
FORTE MARIE CURIE INTERNATIONAL POSTDOC FELLOWSHIP PROGRAMME SWEDEN SEVENTH FRAMEWORK PROGRAMME,1,0.003
FORTE SWEDISH RESEARCH COUNCIL FOR HEALTH WORKING LIFE AND WELFARE,1,0.003
FORUM,1,0.003
FORUM DER RUHR UNIVERSITAT BOCHUM,1,0.003
FORUM RUB,1,0.003
FORUN PROGRAM OF ROSTOCK UNIVERSITY MEDICAL CENTRE,1,0.003
FOSTER LAB FUNDS FOR RESEARCH AND TEACHING,1,0.003
FOUNDATION AND RESEARCH CENTER OF THE UNIVERSITE DE MONTREAL HOSPITAL CENTER CHUM,1,0.003
FOUNDATION CELLEX,1,0.003
FOUNDATION CEREALIA SWEDEN,1,0.003
FOUNDATION FIGHTING BLINDNESS CAREER DEVELOPMENT AWARD,1,0.003
FOUNDATION FOR A HEALTHY KENTUCKY,1,0.003
FOUNDATION FOR ANESTHESIA EDUCATION AND RESEARCH,1,0.003
FOUNDATION FOR APPLIED MEDICAL RESEARCH,1,0.003
FOUNDATION FOR APPLIED MEDICAL RESEARCH FIMA,1,0.003
FOUNDATION FOR APPLIED MEDICAL RESEARCH UNIVERSIDAD DE NAVARRA SPAIN,1,0.003
FOUNDATION FOR CARDIOVASCULAR RESEARCH AT ST OLAV S HOSPITAL,1,0.003
FOUNDATION FOR CHILD DEVELOPMENT,1,0.003
FOUNDATION FOR DEVELOPMENT OF COMMUNITY JAPAN,1,0.003
FOUNDATION FOR DEVELOPMENT OF COMMUNITY JAPANF,1,0.003
FOUNDATION FOR DEVELOPMENT OF THE COMMUNITY,1,0.003
FOUNDATION FOR DEVELOPMENT OF THE COMMUNITY TOCHIGI,1,0.003
FOUNDATION FOR DEVELOPMENT OF THE COMMUNITY TOCHIGI JAPAN,1,0.003
FOUNDATION FOR DIABETES RESEARCH OF THE ITALIAN DIABETES SOCIETY SID THROUGH THE AWARD OF FONDAZIONE DIABETE RICERCA FO DI RI MSD SCHOLARSHIPS,1,0.003
FOUNDATION FOR DISTINGUISHED YOUNG TALENTS IN HIGHER EDUCATION OF GUANGDONG CHINA,1,0.003
FOUNDATION FOR EDUCATIONAL RESEARCH,1,0.003
FOUNDATION FOR MEDICAL RESEARCH,1,0.003
FOUNDATION FOR NUTRITION AND HEALTH RESEARCH,1,0.003
FOUNDATION FOR NUTRITION RESEARCH,1,0.003
FOUNDATION FOR OLD SERVANTS,1,0.003
FOUNDATION FOR PAEDIATRIC RESEARCH,1,0.003
FOUNDATION FOR PEDIATRICS RESEARCH,1,0.003
FOUNDATION FOR PSYCHOCULTURAL RESEARCH UCLA CENTER FOR CULTURE BRAIN AND DEVELOPMENT,1,0.003
FOUNDATION FOR REPRODUCTIVE MEDICINE,1,0.003
FOUNDATION FOR RESEARCH AND SCIENTIFIC AND TECHNOLOGICAL DEVELOPMENT OF MARANHAO FAPEMA,1,0.003
FOUNDATION FOR RESEARCH IN SLEEP DISORDERS,1,0.003
FOUNDATION FOR RESEARCH OF THE STATE OF MINAS GERAIS,1,0.003
FOUNDATION FOR RESEARCH SUPPORT OF THE STATE OF SAO PAULO,1,0.003
FOUNDATION FOR RESPIRATORY RESEARCH AT HAUKELAND UNIVERSITY HOSPITAL IN BERGEN NORWAY,1,0.003
FOUNDATION FOR SCIENCE AND TECHNOLOGY FCT PORTUGUESE MINISTRY OF SCIENCE TECHNOLOGY AND HIGHER EDUCATION UNDER THE EPIUNIT INSTITUTO DE SAUDE PUBLICA DA UNIVERSIDADE DO PORTO PORTUGAL,1,0.003
FOUNDATION FOR SCIENCE AND TECHNOLOGY PORTUGAL CIEO RESEARCH CENTRE FOR SPATIAL AND ORGANIZATIONAL DYNAMICS UNIVERSITY OF ALGARVE PORTUGAL,1,0.003
FOUNDATION FOR SCIENCE AND TECHNOLOGY RESEARCH PROJECT OF CHONGQING,1,0.003
FOUNDATION FOR STRATEGIC RESEARCH,1,0.003
FOUNDATION FOR SUPPORT OF SCIENTIFIC AND TECHNOLOGICAL RESEARCH OF THE STATE OF SANTA CATARINA FAPESC PORTUGUESE FUNDACAO DE APOIO A PESQUISA CIENTIFICA E TECNOLOGICA DO ESTADO DE SANTA CATARINA,1,0.003
FOUNDATION FOR THE COORDINATION OF IMPROVEMENT OF HIGHER EDUCATION PERSONNEL CAPES BRAZIL,1,0.003
FOUNDATION FOR THE DEVELOPMENT OF COMMUNITY,1,0.003
FOUNDATION FOR THE DEVELOPMENT OF THE COMMUNITY,1,0.003
FOUNDATION FOR THE DEVELOPMENT OF THE COMMUNITY JAPAN,1,0.003
FOUNDATION FOR THE DEVELOPMENT OF THE COMMUNITY TOCHIGI JAPAN,1,0.003
FOUNDATION FOR THE STUDY OF ENDOCRINE AND METABOLIC DISEASES FSMEM TURIN ITALY,1,0.003
FOUNDATION FOR THE STUDY OF INFANT DEATHS,1,0.003
FOUNDATION FOR YOUNG MEDICAL TALENTS OF JIANGSU PROVINCE,1,0.003
FOUNDATION GERBEX BOURGET,1,0.003
FOUNDATION HEART OF MAINZ,1,0.003
FOUNDATION INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET PNEUMOLOGIE DE QUEBEC 2019 LEBEL A,1,0.003
FOUNDATION KVINNOR OCH HALSA WOMEN AND HEALTH,1,0.003
FOUNDATION LEDVCQ,1,0.003
FOUNDATION LEENAARDS,1,0.003
FOUNDATION OF FUJIAN EDUCATIONAL COMMITTEE,1,0.003
FOUNDATION OF GAMLA TJANARINNOR,1,0.003
FOUNDATION OF HEALTH AND FAMILY PLANNING COMMISSION OF HUBEI PROVINCE,1,0.003
FOUNDATION OF HEALTH AND FAMILY PLANNING COMMISSION OF JIANGSU PROVINCE,1,0.003
FOUNDATION OF HOPE FOR RESEARCH AND TREATMENT OF MENTAL ILLNESS RALEIGH NC,1,0.003
FOUNDATION OF HOPE FOR THE RESEARCH AND TREATMENT OF MENTAL ILLNESS,1,0.003
FOUNDATION OF HOPE FOR THE RESEARCH AND TREATMENT OF MENTAL ILLNESS RALEIGH NC,1,0.003
FOUNDATION OF HUNAN EDUCATIONAL COMMITTEE,1,0.003
FOUNDATION OF HUNAN MEDICINE AND HEALTH STUDY,1,0.003
FOUNDATION OF MEDICAL RESEARCH IN SKELLEFTEA,1,0.003
FOUNDATION OF NANJING MEDICAL UNIVERSITY,1,0.003
FOUNDATION OF NATIONAL KEY PROGRAM OF RESEARCH AND DEVELOPMENT OF CHINA,1,0.003
FOUNDATION OF NON INSTITUTIONAL CARE ACADEMY OF FINLAND,1,0.003
FOUNDATION OF RENEE,1,0.003
FOUNDATION OF RESEARCH SUPPORT OF THE RIO DE JANEIRO STATE FAPERJ,1,0.003
FOUNDATION OF SCIENCE AND TECHNOLOGY,1,0.003
FOUNDATION OF SHANGHAI MUNICIPAL COMMISSION OF HEALTH AND FAMILY PLANNING,1,0.003
FOUNDATION OF SWEDISH STROKE ASSOCIATION,1,0.003
FOUNDATION OF THE CMSC,1,0.003
FOUNDATION OF THE INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUEBEC,1,0.003
FOUNDATION OF THE NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM OF CHINA,1,0.003
FOUNDATION OF THE QUEBEC HEART AND LUNG INSTITUTE,1,0.003
FOUNDATION OF THE SOCIEDAD ESPANOLA ENDOCRINOLOGIA Y NUTRICION,1,0.003
FOUNDATION OF UNIVERSITE LAVAL,1,0.003
FOUNDATION THE WELLCOME TRUST UK,1,0.003
FOUNDATION VAINCRE LE DIABETE,1,0.003
FOUNDATIONS FROM GUANGZHOU HEALTH BUREAU CHINA,1,0.003
FOUNDATIONS POST DOC POOL,1,0.003
FOUNDATIONS RESEARCH SKANE UNIVERSITY HOSPITAL MALMO,1,0.003
FOUNDERS AFFILIATE AMERICAN HEART ASSOCIATION CLINICAL RESEARCH PROGRAM,1,0.003
FOUNTAIN FAMILY RESEARCH FUND OF THE QUEEN ELIZABETH II HEALTH SCIENCES CENTRE,1,0.003
FOURTH ROUND OF SHANGHAI PUBLIC HEALTH THREE YEAR ACTION PLAN KEY DISCIPLINE CONSTRUCTION HEALTH EDUCATION AND HEALTH PROMOTION,1,0.003
FOURTH THREE YEARS PUBLIC HEALTH PROGRAM,1,0.003
FOX FOUNDATION,1,0.003
FP 5 GENOMEUTWIN PROJECT,1,0.003
FP 7 EUROPEAN PROJECT GIAVAP GENETIC IMPROVEMENT OF ALGAE FOR VALUE ADDED PRODUCTS,1,0.003
FP OF EC OF EU,1,0.003
FP7 2007 2103 EUROPEAN UNION PROJECT CVGENES TARGET,1,0.003
FP7 EUROPEAN UNION PROJECT CVGENES TARGET,1,0.003
FP7 GRANT FROM THE EUROPEAN COMMISSION,1,0.003
FPI GRANT FROM THE SPANISH MINISTRY OF HEALTH,1,0.003
FPU FELLOWSHIP FROM THE SPANISH MINISTRY OF EDUCATION CULTURE AND SPORTS,1,0.003
FRA FONDATION POUR LA RECHERCHE EN ALCOOLOGIE,1,0.003
FRAGILE X RESEARCH FOUNDATION OF CANADA,1,0.003
FRAILOMIC INITIATIVE,1,0.003
FRAILOMIC INITIATIVE EU,1,0.003
FRAILOMIC INITIATIVE FP7 HEALTH 2012,1,0.003
FRAILSAFE PROJECT,1,0.003
FRAM HIGH NORTH RESEARCH CENTRE FOR CLIMATE AND THE ENVIRONMENT,1,0.003
FRAMINGHAM,1,0.003
FRAMINGHAM HEART STUDY OF THE NHLBI NIH,1,0.003
FRAMINGHAM OSTEOPOROSIS,1,0.003
FRAN AND RAY STARK FOUNDATION FUND FOR ALZHEIMER S DISEASE RESEARCH,1,0.003
FRANCE PARKINSON,1,0.003
FRANCES G COTTER,1,0.003
FRANK A CAMPINI FOUNDATION,1,0.003
FRANK M NORFLEET FORUM FOR ADVANCEMENT OF HEALTH,1,0.003
FRANTZ BIOMARKERS LLC,1,0.003
FRATERNAL ORDER OF EAGLES CANCER RESEARCH FUND,1,0.003
FRAUNHOFER SOCIETY,1,0.003
FRCE PREMIER DISPLAY GRANT AT CMU,1,0.003
FREDERIC LIMOSIN,1,0.003
FREDERICK BANTING AND CHARLES BEST CANADA GRADUATE SCHOLARSHIP BY CANADIAN INSTITUTES OF HEALTH RESEARCH,1,0.003
FREDERIQUE THOMAS,1,0.003
FREDRIK LUNDBERG,1,0.003
FREE STATE OF SAXONY WITHIN THE FRAMEWORK OF THE EXCELLENCE INITIATIVE,1,0.003
FREIA CHOCOLADE FABRIKS MEDICAL FOUNDATION,1,0.003
FREIWILLIGE AKADEMISCHE GESELLSCHAFT FAG BASEL,1,0.003
FREMANTLE HOSPITAL MEDICAL RESEARCH FOUNDATION,1,0.003
FRENCH AGENCY FOR FOOD ENVIRONMENTAL AND OCCUPATIONAL HEALTH SAFETY ANSES,1,0.003
FRENCH AGENCY OF HEALTH SAFETY ENVIRONMENT AND WORK AFSSET,1,0.003
FRENCH ASSOCIATION NATIONALE DE LA RECHERCHE ET DE LA TECHNOLOGIE,1,0.003
FRENCH CIVIL AVIATION AUTHORITY,1,0.003
FRENCH DRUG AGENCY ANSM AGENCE NATIONALE DE SECURITE DES MEDICAMENTS,1,0.003
FRENCH ENVIRONMENT AND ENERGY MANAGEMENT AGENCY ADEME,1,0.003
FRENCH FEDERATION OF CARDIOLOGY,1,0.003
FRENCH FEDERATION OF CARDIOLOGY LA FEDERATION FRANCAISE DE CARDIOLOGIE,1,0.003
FRENCH FOREIGN AFFAIRS MINISTRY,1,0.003
FRENCH FOREIGN AFFAIRS MINISTRY THE MOROCCAN MINISTRY OF RESEARCH AND HIGHER EDUCATION,1,0.003
FRENCH FOUNDATION FOR RESEARCH IN HYPERTENSION,1,0.003
FRENCH FOUNDATION OF CARDIOLOGY PARIS FRANCE,1,0.003
FRENCH INSTITUT NATIONAL D ETUDES DEMOGRAPHIQUES INED,1,0.003
FRENCH INSTITUTE FOR HEALTH PROMOTION AND HEALTH EDUCATION INPES,1,0.003
FRENCH INSTITUTE FOR HEALTH SURVEILLANCE,1,0.003
FRENCH INSTITUTE FOR HEALTH SURVEILLANCE INVS,1,0.003
FRENCH INSTITUTE OF PUBLIC HEALTH RESEARCH IRESP,1,0.003
FRENCH INSTITUTIONS SUCH AS THE INSTITUT NATIONAL DU CANCER,1,0.003
FRENCH INTERMINISTERIAL COMMITTEE OF URBAN AFFAIRS,1,0.003
FRENCH INTERMINISTERIAL MISSION FOR THE FIGHT AGAINST DRUGS AND ADDICTION MILDT MISSION INTERMINISTERIELLE DE LUTTE CONTRE LES DROGUES ET TOXICOMANIES,1,0.003
FRENCH MINISTERE DE L ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE,1,0.003
FRENCH MINISTERY OF HEALTH CELLULE PROJET HOSPITALIER DE RECHERCHE CLINIQUE NATIONAL DIRECTION DE LA RECHERCHE CLINIQUE CHU SAINT ETIENNE,1,0.003
FRENCH MINISTRIES OF RESEARCH AND HEALTH,1,0.003
FRENCH MINISTRIES OF RESEARCH AND HEALTH EPIDEMIOLOGIC COHORTS GRANT,1,0.003
FRENCH MINISTRY OF ENVIRONMENT,1,0.003
FRENCH MINISTRY OF HEALTH CELLULE PROJET HOSPITALIER DE RECHERCHE CLINIQUE NATIONAL DIRECTION DE LA RECHERCHE CLINIQUE CHU SAINT ETIENNE APPEL D OFFRE AND APPEL D OFFRE,1,0.003
FRENCH MINISTRY OF HEALTH DGS,1,0.003
FRENCH MINISTRY OF HEALTH PARIS FRANCE,1,0.003
FRENCH MINISTRY OF HIGHER EDUCATION,1,0.003
FRENCH MINISTRY OF HIGHER EDUCATION AND RESEARCH,1,0.003
FRENCH NATIONAL AGENCY FOR RESEARCH PROJECT ANTRAC,1,0.003
FRENCH NATIONAL AGENCY THROUGH THE RECHERCHE HOSPITAL UNIVERSITAIRE CARDIAC SKELETAL MUSCLE ALTERATION IN RELATION TO METABOLIC DISEASES AND AGEING ROLE OF ADIPOSE TISSUE RHU CARMMA GRANT,1,0.003
FRENCH NATIONAL CANCER INSTITUTE INSTITUT NATIONAL DU CANCER INCA THROUGH THE SOCIAL SCIENCES AND HUMANITIES AND PUBLIC HEALTH PROGRAM,1,0.003
FRENCH NATIONAL CANCER INSTITUTE INSTITUT NATIONAL DU CANCER INCA THROUGH THE SOCIAL SCIENCES AND HUMANITIES AND PUBLIC HEALTH PROGRAMME,1,0.003
FRENCH NATIONAL HEALTH DIRECTORATE,1,0.003
FRENCH NATIONAL HEALTH SURVEILLANCE SYSTEM INVS,1,0.003
FRENCH NATIONAL INSTITUTE FOR AGRICULTURAL RESEARCH INRA,1,0.003
FRENCH NATIONAL INSTITUTE FOR HEALTH AND MEDICAL RESEARCH INSERM ATIP AVENIR 2016,1,0.003
FRENCH NATIONAL INSTITUTE OF HEALTH AND OF MEDICAL RESEARCH INSERM,1,0.003
FRENCH NATIONAL INSTITUTE OF SLEEP AND VIGILANCE,1,0.003
FRENCH NATIONAL MUSEUM OF NATURAL HISTORY ATM,1,0.003
FRENCH NATIONAL PROGRAM OF CLINICAL RESEARCH,1,0.003
FRENCH PUBLIC HEALTH AGENCY,1,0.003
FRENCH RESEARCH MINISTRY PLAN PLURI FORMATION,1,0.003
FRENCH SOCIETY FOR RESEARCH SLEEP MEDICINE SFRMS FRANCE,1,0.003
FRENCH SOCIETY OF CARDIOLOGY PARIS FRANCE,1,0.003
FRENCH SOCIETY OF ENDOCRINOLOGY SFE,1,0.003
FRENCH SOCIETY OF HYPERTENSION,1,0.003
FRESENIUS BIOTECH NORTH AMERICA INC,1,0.003
FRESENIUS MEDICAL CARE NORTH AMERICA WALTHAM MA,1,0.003
FRIEDE SPRINGER HEART FOUNDATION,1,0.003
FRIEDREICH S ATAXIA RESEARCH ALLIANCE CHOP CLINICAL CONSORTIUM FOR RESEARCH ON FRIEDREICH ATAXIA MORTALITY IN FRIEDREICH ATAXIA,1,0.003
FRIENDEAR INC,1,0.003
FRIENDS IN RED BALTIMORE,1,0.003
FRIENDS OF THE ROTUNDA,1,0.003
FRIENDS OF THE SEMEL INSTITUTE FOR NEUROSCIENCE AND HUMAN BEHAVIOR,1,0.003
FRIESLAND FOODS HELLAS,1,0.003
FRIESLAND MENTAL HEALTH SERVICES,1,0.003
FRIESLANDCAMPINA,1,0.003
FRIESLANDCAMPINA FC,1,0.003
FRQS CLINICIAN SCIENTIST AWARD,1,0.003
FRQS MONTREAL QUEBEC CANADA,1,0.003
FRQS QUEBEC,1,0.003
FRSQ NSFC,1,0.003
FSR,1,0.003
FST OF SETTAT,1,0.003
FU WAI HOSPITAL,1,0.003
FUJIAN MEDICAL INNOVATION SUBJECT,1,0.003
FUJIAN PROVINCE NATURE SCIENCE FOUNDATION,1,0.003
FUJIAN PROVINCIAL MATERNITY AND CHILDREN S HEALTH HOSPITAL FOUNDATION,1,0.003
FUJIAN PROVINCIAL NATURAL SCIENCE FOUNDATION OF CHINA,1,0.003
FUJIAN SCIENCE AND TECHNOLOGY INNOVATION FOUNDATION FOR YOUNG SCIENTISTS,1,0.003
FUJIAN SCIENCE AND TECHNOLOGY LEADING PROJECT,1,0.003
FUJITA HEALTH UNIVERSITY,1,0.003
FUKUDA DENSHI CO LTD,1,0.003
FUKUDA DENSHI JAPAN,1,0.003
FUKUDA LIFETEC KEIGJI,1,0.003
FUKUDA LIFETEC KEIJI JAPAN,1,0.003
FULBRIGHT,1,0.003
FULBRIGHT COMMISSION,1,0.003
FULBRIGHT PROGRAM S RESEARCH GRANT FOR A JUNIOR SCHOLAR,1,0.003
FUMIKO YAMAJI PROFESSIONAL NURSING EDUCATION,1,0.003
FUN C FOOD RESEARCH PROJECT FROM CONSOLIDER INGENIO,1,0.003
FUNCTIONAL NEUROIMAGING LABORATORY OF THE CIVITAN INTERNATIONAL RESEARCH CENTER AT UAB,1,0.003
FUND FOR APPLIED BASIC RESEARCH IN YUNNAN PROVINCE CHINA,1,0.003
FUND FOR KEY DISCIPLINE CONSTRUCTION IN ZUNYI MEDICAL UNIVERSITY,1,0.003
FUND FOR SCIENTIFIC RESEARCH FWO F FLANDERS BELGIUM,1,0.003
FUND FOR YOUNG SCIENTISTS OF THE NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA,1,0.003
FUND OF ACADEMIC STUDIES OF UZ LEUVEN,1,0.003
FUND OF CAPITAL SPECIAL FOUNDATION OF CLINICAL APPLICATION RESEARCH,1,0.003
FUND OF HANYANG UNIVERSITY,1,0.003
FUND TO REVITALIZE THE COMMUNITY HEALTHCARE IN MIE PREFECTURE,1,0.003
FUNDACAO CEARENSE DE APOIO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO FUNCAP,1,0.003
FUNDACAO COORDENAGAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR,1,0.003
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE GOIAS,1,0.003
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO AND FUNDACAO ZERBINI,1,0.003
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO FAPERJ SESDEC MS CNPQ,1,0.003
FUNDACAO DE AMPARO A PESQUISA E INOVACAO DO ESTADO DE SANTA CATARINA FAPESC,1,0.003
FUNDACAO DE APOIO A PESQUISA DO ESTADO DO RIO GRANDE DO NORTE FAPERN,1,0.003
FUNDACAO DE AUXILIO AO ENSINO PESQUISA E ASSISTENCIA DO HCFMRP USP,1,0.003
FUNDACAO DE ENSINO E PESQUISA EM CIENCIAS DA SAUDE DA SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL FEPECS SES DF,1,0.003
FUNDACAO MUNICIPAL DE SAUDE DE NITEROI,1,0.003
FUNDACAO PARA A CIENCIA E A TECNOLOGIA FOUNDATION FOR SCIENCE AND TECHNOLOGY,1,0.003
FUNDACAO PARA A CIENCIA E A TECNOLOGIA FOUNDATION FOR SCIENCE AND TECHNOLOGY THROUGH A EUROPEAN UNION COMPETE PROGRAM,1,0.003
FUNDACAO PARA A CIENCIA E A TECNOLOGIA PORTUGAL THROUGH THE ADVANCE RESEARCH CENTRE,1,0.003
FUNDACAO PARA A CIENCIA E TECNOLOGIA UNDER THE HUMAN POTENTIAL OPERATIONAL PROGRAMME EUROPEAN SOCIAL FUND POPH FSE PROGRAM IN PORTUGAL,1,0.003
FUNDACAO PARA CIENCIA E DESENVOLVIMENTO DE ANGOLA,1,0.003
FUNDACENTRO MINISTRY OF LABOUR AND EMPLOYMENT FEDERAL GOVERNMENT BRAZIL,1,0.003
FUNDACIO HOSPITAL ASIL DE GRANOLLERS ASIL GRANOLLERS HOSPITAL FOUNDATION,1,0.003
FUNDACIO LA MARATO DE TV3 2008,1,0.003
FUNDACIO LA MARATO OF TV3,1,0.003
FUNDACIO LA MARATO TV3,1,0.003
FUNDACIO PRIVADA DANIEL BRAVO ANDREU,1,0.003
FUNDACION ALFONSO MARTIN ESCUDERO,1,0.003
FUNDACION ALFONSO MARTIN ESCUDERO FAME SPAIN,1,0.003
FUNDACION ALZHEIMUR MURCIA,1,0.003
FUNDACION BANCA LA CAIXA,1,0.003
FUNDACION BOTIN,1,0.003
FUNDACION BOTIN OF BANCO SANTANDER,1,0.003
FUNDACION CAROLINA,1,0.003
FUNDACION CENTRO NACIONAL DE INVESTIGACIONES CARDIOVASCULARES CARLOS III CNIC MADRID SPAIN,1,0.003
FUNDACION CONCHITA RABAGO,1,0.003
FUNDACION DEL COMPLEJO HOSPITALARIO UNIVERSITARIO DE A CORUNA,1,0.003
FUNDACION FLORENCIO FIORINI,1,0.003
FUNDACION IMSS,1,0.003
FUNDACION IMSS A C,1,0.003
FUNDACION LIBERBANK,1,0.003
FUNDACION MAPFRE SPAIN,1,0.003
